,topic,argument,key_point,stance,label
5201,We should abolish capital punishment,capital punishment can influence better behavior,The death penalty saves costs to the state,-1,0
5202,We should abolish capital punishment,capital punishment can often cause great pain when being implemented and does not deter violent crime which is often committed in the throes of rage not to mention the injustice to the wrongly convicted.,State-sanctioned killing is principally wrong,1,0
5203,We should abolish capital punishment,capital punishment can often cause great pain when being implemented and does not deter violent crime which is often committed in the throes of rage not to mention the injustice to the wrongly convicted.,The death penalty irreversible,1,0
5204,We should abolish capital punishment,capital punishment can often cause great pain when being implemented and does not deter violent crime which is often committed in the throes of rage not to mention the injustice to the wrongly convicted.,The death penalty is a waste of resources,1,0
5205,We should abolish capital punishment,capital punishment can often cause great pain when being implemented and does not deter violent crime which is often committed in the throes of rage not to mention the injustice to the wrongly convicted.,The death penalty is ineffective in deterring crimes,1,1
5206,We should abolish capital punishment,capital punishment can potentially lead to the death of innocent men. there are cases where there is strong doubt that the person executed actually carried out the crime.,State-sanctioned killing is principally wrong,1,0
5207,We should abolish capital punishment,capital punishment can potentially lead to the death of innocent men. there are cases where there is strong doubt that the person executed actually carried out the crime.,The death penalty harms the disenfranchised,1,0
5208,We should abolish capital punishment,capital punishment can potentially lead to the death of innocent men. there are cases where there is strong doubt that the person executed actually carried out the crime.,The death penalty irreversible,1,1
5209,We should abolish capital punishment,capital punishment can potentially lead to the death of innocent men. there are cases where there is strong doubt that the person executed actually carried out the crime.,The death penalty is a waste of resources,1,0
5210,We should abolish capital punishment,capital punishment can potentially lead to the death of innocent men. there are cases where there is strong doubt that the person executed actually carried out the crime.,The death penalty is ineffective in deterring crimes,1,0
5211,We should abolish capital punishment,Capital punishment can provide more catharsis for victims than life in prison.,The death penalty helps the victim/their family,-1,1
5212,We should abolish capital punishment,Capital punishment can provide more catharsis for victims than life in prison.,The death penalty is acceptable in cases of severe crimes,-1,0
5213,We should abolish capital punishment,Capital punishment can provide more catharsis for victims than life in prison.,The death penalty is proportional,-1,0
5214,We should abolish capital punishment,Capital punishment can provide more catharsis for victims than life in prison.,The death penalty prevents crimes,-1,0
5215,We should abolish capital punishment,Capital punishment can provide more catharsis for victims than life in prison.,The death penalty saves costs to the state,-1,0
5216,We should abolish capital punishment,capital punishment can serve as a useful deterrent to prevent crime as people who are thinking about committing heinous crimes may have second thoughts as they know they put be put to death themselves.,The death penalty helps the victim/their family,-1,0
5217,We should abolish capital punishment,capital punishment can serve as a useful deterrent to prevent crime as people who are thinking about committing heinous crimes may have second thoughts as they know they put be put to death themselves.,The death penalty is acceptable in cases of severe crimes,-1,0
5218,We should abolish capital punishment,capital punishment can serve as a useful deterrent to prevent crime as people who are thinking about committing heinous crimes may have second thoughts as they know they put be put to death themselves.,The death penalty is proportional,-1,0
5219,We should abolish capital punishment,capital punishment can serve as a useful deterrent to prevent crime as people who are thinking about committing heinous crimes may have second thoughts as they know they put be put to death themselves.,The death penalty prevents crimes,-1,1
5220,We should abolish capital punishment,capital punishment can serve as a useful deterrent to prevent crime as people who are thinking about committing heinous crimes may have second thoughts as they know they put be put to death themselves.,The death penalty saves costs to the state,-1,0
5221,We should abolish capital punishment,capital punishment can suffer from social or racial bias and in fact be used as a weapon against a certain section of society,State-sanctioned killing is principally wrong,1,0
5222,We should abolish capital punishment,capital punishment can suffer from social or racial bias and in fact be used as a weapon against a certain section of society,The death penalty harms the disenfranchised,1,1
5223,We should abolish capital punishment,capital punishment can suffer from social or racial bias and in fact be used as a weapon against a certain section of society,The death penalty irreversible,1,0
5224,We should abolish capital punishment,capital punishment can suffer from social or racial bias and in fact be used as a weapon against a certain section of society,The death penalty is a waste of resources,1,0
5225,We should abolish capital punishment,capital punishment can suffer from social or racial bias and in fact be used as a weapon against a certain section of society,The death penalty is ineffective in deterring crimes,1,0
5226,We should abolish capital punishment,Capital punishment denies due process by making it impossible for new evidence or good behavior to change the sentence.,State-sanctioned killing is principally wrong,1,0
5227,We should abolish capital punishment,Capital punishment denies due process by making it impossible for new evidence or good behavior to change the sentence.,The death penalty harms the disenfranchised,1,0
5228,We should abolish capital punishment,Capital punishment denies due process by making it impossible for new evidence or good behavior to change the sentence.,The death penalty irreversible,1,1
5229,We should abolish capital punishment,Capital punishment denies due process by making it impossible for new evidence or good behavior to change the sentence.,The death penalty is a waste of resources,1,0
5230,We should abolish capital punishment,Capital punishment denies due process by making it impossible for new evidence or good behavior to change the sentence.,The death penalty is ineffective in deterring crimes,1,0
5231,We should abolish capital punishment,capital punishment disincentives people to commit crimes,The death penalty helps the victim/their family,-1,0
5232,We should abolish capital punishment,capital punishment disincentives people to commit crimes,The death penalty is acceptable in cases of severe crimes,-1,0
5233,We should abolish capital punishment,capital punishment disincentives people to commit crimes,The death penalty is proportional,-1,0
5234,We should abolish capital punishment,capital punishment disincentives people to commit crimes,The death penalty prevents crimes,-1,1
5235,We should abolish capital punishment,capital punishment disincentives people to commit crimes,The death penalty saves costs to the state,-1,0
5236,We should abolish capital punishment,capital punishment does not belong in a civil society,The death penalty harms the disenfranchised,1,0
5237,We should abolish capital punishment,capital punishment does not belong in a civil society,The death penalty irreversible,1,0
5238,We should abolish capital punishment,capital punishment does not belong in a civil society,The death penalty is a waste of resources,1,0
5239,We should abolish capital punishment,capital punishment does not belong in a civil society,The death penalty is ineffective in deterring crimes,1,0
5240,We should abolish capital punishment,capital punishment doesn't stop a crime.,State-sanctioned killing is principally wrong,1,0
5241,We should abolish capital punishment,capital punishment doesn't stop a crime.,The death penalty harms the disenfranchised,1,0
5242,We should abolish capital punishment,capital punishment doesn't stop a crime.,The death penalty irreversible,1,0
5243,We should abolish capital punishment,capital punishment doesn't stop a crime.,The death penalty is a waste of resources,1,0
5244,We should abolish capital punishment,capital punishment doesn't stop a crime.,The death penalty is ineffective in deterring crimes,1,1
5245,We should abolish capital punishment,capital punishment dose not work and is barbaric.,The death penalty harms the disenfranchised,1,0
5246,We should abolish capital punishment,capital punishment dose not work and is barbaric.,The death penalty irreversible,1,0
5247,We should abolish capital punishment,capital punishment dose not work and is barbaric.,The death penalty is a waste of resources,1,0
5248,We should abolish capital punishment,capital punishment dose not work and is barbaric.,The death penalty is ineffective in deterring crimes,1,1
5249,We should abolish capital punishment,"Capital punishment frees up space in jail, allowing for less prisons overall.",The death penalty helps the victim/their family,-1,0
5250,We should abolish capital punishment,"Capital punishment frees up space in jail, allowing for less prisons overall.",The death penalty is acceptable in cases of severe crimes,-1,0
5251,We should abolish capital punishment,"Capital punishment frees up space in jail, allowing for less prisons overall.",The death penalty is proportional,-1,0
5252,We should abolish capital punishment,"Capital punishment frees up space in jail, allowing for less prisons overall.",The death penalty prevents crimes,-1,0
5253,We should abolish capital punishment,"Capital punishment frees up space in jail, allowing for less prisons overall.",The death penalty saves costs to the state,-1,1
5254,We should abolish capital punishment,"capital punishment has already led to innocent people being put to death, we should not allow this to happen.",The death penalty harms the disenfranchised,1,0
5255,We should abolish capital punishment,"capital punishment has already led to innocent people being put to death, we should not allow this to happen.",The death penalty is a waste of resources,1,0
5256,We should abolish capital punishment,"capital punishment has already led to innocent people being put to death, we should not allow this to happen.",The death penalty is ineffective in deterring crimes,1,0
5257,We should abolish capital punishment,capital punishment has been proven ineffective in reducing crime rates.,State-sanctioned killing is principally wrong,1,0
5258,We should abolish capital punishment,capital punishment has been proven ineffective in reducing crime rates.,The death penalty harms the disenfranchised,1,0
5259,We should abolish capital punishment,capital punishment has been proven ineffective in reducing crime rates.,The death penalty irreversible,1,0
5260,We should abolish capital punishment,capital punishment has been proven ineffective in reducing crime rates.,The death penalty is a waste of resources,1,0
5261,We should abolish capital punishment,capital punishment has been proven ineffective in reducing crime rates.,The death penalty is ineffective in deterring crimes,1,1
5262,We should abolish capital punishment,capital punishment has been proven to deter violent crime,The death penalty helps the victim/their family,-1,0
5263,We should abolish capital punishment,capital punishment has been proven to deter violent crime,The death penalty is acceptable in cases of severe crimes,-1,0
5264,We should abolish capital punishment,capital punishment has been proven to deter violent crime,The death penalty is proportional,-1,0
5265,We should abolish capital punishment,capital punishment has been proven to deter violent crime,The death penalty prevents crimes,-1,1
5266,We should abolish capital punishment,capital punishment has been proven to deter violent crime,The death penalty saves costs to the state,-1,0
5267,We should abolish capital punishment,capital punishment has been shown by studies to just make kids think that violence can be answered with violence.,The death penalty harms the disenfranchised,1,0
5268,We should abolish capital punishment,capital punishment has been shown by studies to just make kids think that violence can be answered with violence.,The death penalty irreversible,1,0
5269,We should abolish capital punishment,capital punishment has been shown by studies to just make kids think that violence can be answered with violence.,The death penalty is a waste of resources,1,0
5270,We should abolish capital punishment,capital punishment has been shown by studies to just make kids think that violence can be answered with violence.,The death penalty is ineffective in deterring crimes,1,0
5271,We should abolish capital punishment,capital punishment has done nothing to actually deter serious crime in this country,State-sanctioned killing is principally wrong,1,0
5272,We should abolish capital punishment,capital punishment has done nothing to actually deter serious crime in this country,The death penalty harms the disenfranchised,1,0
5273,We should abolish capital punishment,capital punishment has done nothing to actually deter serious crime in this country,The death penalty irreversible,1,0
5274,We should abolish capital punishment,capital punishment has done nothing to actually deter serious crime in this country,The death penalty is a waste of resources,1,0
5275,We should abolish capital punishment,capital punishment has done nothing to actually deter serious crime in this country,The death penalty is ineffective in deterring crimes,1,1
5276,We should abolish capital punishment,"Capital punishment has historically been unfairly used more against minorities and the weak people in society, and I believe it's true today",State-sanctioned killing is principally wrong,1,0
5277,We should abolish capital punishment,"Capital punishment has historically been unfairly used more against minorities and the weak people in society, and I believe it's true today",The death penalty harms the disenfranchised,1,1
5278,We should abolish capital punishment,"Capital punishment has historically been unfairly used more against minorities and the weak people in society, and I believe it's true today",The death penalty irreversible,1,0
5279,We should abolish capital punishment,"Capital punishment has historically been unfairly used more against minorities and the weak people in society, and I believe it's true today",The death penalty is a waste of resources,1,0
5280,We should abolish capital punishment,"Capital punishment has historically been unfairly used more against minorities and the weak people in society, and I believe it's true today",The death penalty is ineffective in deterring crimes,1,0
5281,We should abolish capital punishment,capital punishment helps deter serious crime.,The death penalty helps the victim/their family,-1,0
5282,We should abolish capital punishment,capital punishment helps deter serious crime.,The death penalty is acceptable in cases of severe crimes,-1,0
5283,We should abolish capital punishment,capital punishment helps deter serious crime.,The death penalty is proportional,-1,0
5284,We should abolish capital punishment,capital punishment helps deter serious crime.,The death penalty prevents crimes,-1,1
5285,We should abolish capital punishment,capital punishment helps deter serious crime.,The death penalty saves costs to the state,-1,0
5286,We should abolish capital punishment,capital punishment is 100% effective as a deterrent to the criminal being executed; that killer cannot commit any more crimes,The death penalty helps the victim/their family,-1,0
5287,We should abolish capital punishment,capital punishment is 100% effective as a deterrent to the criminal being executed; that killer cannot commit any more crimes,The death penalty is acceptable in cases of severe crimes,-1,0
5288,We should abolish capital punishment,capital punishment is 100% effective as a deterrent to the criminal being executed; that killer cannot commit any more crimes,The death penalty is proportional,-1,0
5289,We should abolish capital punishment,capital punishment is 100% effective as a deterrent to the criminal being executed; that killer cannot commit any more crimes,The death penalty prevents crimes,-1,1
5290,We should abolish capital punishment,capital punishment is 100% effective as a deterrent to the criminal being executed; that killer cannot commit any more crimes,The death penalty saves costs to the state,-1,0
5291,We should abolish capital punishment,capital punishment is a barbaric and inhumane practice that is outdated.,State-sanctioned killing is principally wrong,1,1
5292,We should abolish capital punishment,capital punishment is a barbaric and inhumane practice that is outdated.,The death penalty harms the disenfranchised,1,0
5293,We should abolish capital punishment,capital punishment is a barbaric and inhumane practice that is outdated.,The death penalty irreversible,1,0
5294,We should abolish capital punishment,capital punishment is a barbaric and inhumane practice that is outdated.,The death penalty is a waste of resources,1,0
5295,We should abolish capital punishment,capital punishment is a barbaric and inhumane practice that is outdated.,The death penalty is ineffective in deterring crimes,1,0
5296,We should abolish capital punishment,capital punishment is a barbaric practice that is outdated and shouldn't exist in a civilized society.,State-sanctioned killing is principally wrong,1,1
5297,We should abolish capital punishment,capital punishment is a barbaric practice that is outdated and shouldn't exist in a civilized society.,The death penalty harms the disenfranchised,1,0
5298,We should abolish capital punishment,capital punishment is a barbaric practice that is outdated and shouldn't exist in a civilized society.,The death penalty irreversible,1,0
5299,We should abolish capital punishment,capital punishment is a barbaric practice that is outdated and shouldn't exist in a civilized society.,The death penalty is a waste of resources,1,0
5300,We should abolish capital punishment,capital punishment is a barbaric practice that is outdated and shouldn't exist in a civilized society.,The death penalty is ineffective in deterring crimes,1,0
5301,We should abolish capital punishment,capital punishment is a barbaric practice which gives men too much power.,State-sanctioned killing is principally wrong,1,1
5302,We should abolish capital punishment,capital punishment is a barbaric practice which gives men too much power.,The death penalty harms the disenfranchised,1,0
5303,We should abolish capital punishment,capital punishment is a barbaric practice which gives men too much power.,The death penalty irreversible,1,0
5304,We should abolish capital punishment,capital punishment is a barbaric practice which gives men too much power.,The death penalty is a waste of resources,1,0
5305,We should abolish capital punishment,capital punishment is a barbaric practice which gives men too much power.,The death penalty is ineffective in deterring crimes,1,0
5306,We should abolish capital punishment,capital punishment is a conscious act of murdering someone,State-sanctioned killing is principally wrong,1,1
5307,We should abolish capital punishment,capital punishment is a conscious act of murdering someone,The death penalty harms the disenfranchised,1,0
5308,We should abolish capital punishment,capital punishment is a conscious act of murdering someone,The death penalty irreversible,1,0
5309,We should abolish capital punishment,capital punishment is a conscious act of murdering someone,The death penalty is a waste of resources,1,0
5310,We should abolish capital punishment,capital punishment is a conscious act of murdering someone,The death penalty is ineffective in deterring crimes,1,0
5311,We should abolish capital punishment,"capital punishment is a massive transgression of the dignity of life, which should have no exceptions.",State-sanctioned killing is principally wrong,1,1
5312,We should abolish capital punishment,"capital punishment is a massive transgression of the dignity of life, which should have no exceptions.",The death penalty harms the disenfranchised,1,0
5313,We should abolish capital punishment,"capital punishment is a massive transgression of the dignity of life, which should have no exceptions.",The death penalty irreversible,1,0
5314,We should abolish capital punishment,"capital punishment is a massive transgression of the dignity of life, which should have no exceptions.",The death penalty is a waste of resources,1,0
5315,We should abolish capital punishment,"capital punishment is a massive transgression of the dignity of life, which should have no exceptions.",The death penalty is ineffective in deterring crimes,1,0
5316,We should abolish capital punishment,capital punishment is a needed last threat to keep kids in line how need discipline in their lives.,The death penalty helps the victim/their family,-1,0
5317,We should abolish capital punishment,capital punishment is a needed last threat to keep kids in line how need discipline in their lives.,The death penalty is acceptable in cases of severe crimes,-1,0
5318,We should abolish capital punishment,capital punishment is a needed last threat to keep kids in line how need discipline in their lives.,The death penalty is proportional,-1,0
5319,We should abolish capital punishment,capital punishment is a needed last threat to keep kids in line how need discipline in their lives.,The death penalty prevents crimes,-1,1
5320,We should abolish capital punishment,capital punishment is a needed last threat to keep kids in line how need discipline in their lives.,The death penalty saves costs to the state,-1,0
5321,We should abolish capital punishment,capital punishment is a real deterant to crime and should not be abolished.,The death penalty helps the victim/their family,-1,0
5322,We should abolish capital punishment,capital punishment is a real deterant to crime and should not be abolished.,The death penalty is acceptable in cases of severe crimes,-1,0
5323,We should abolish capital punishment,capital punishment is a real deterant to crime and should not be abolished.,The death penalty is proportional,-1,0
5324,We should abolish capital punishment,capital punishment is a real deterant to crime and should not be abolished.,The death penalty prevents crimes,-1,1
5325,We should abolish capital punishment,capital punishment is a real deterant to crime and should not be abolished.,The death penalty saves costs to the state,-1,0
5326,We should abolish capital punishment,capital punishment is a strong deterrent. if someone know they will be put to death for committing a crime they will be less likely to do it.,The death penalty helps the victim/their family,-1,0
5327,We should abolish capital punishment,capital punishment is a strong deterrent. if someone know they will be put to death for committing a crime they will be less likely to do it.,The death penalty is acceptable in cases of severe crimes,-1,0
5328,We should abolish capital punishment,capital punishment is a strong deterrent. if someone know they will be put to death for committing a crime they will be less likely to do it.,The death penalty is proportional,-1,0
5329,We should abolish capital punishment,capital punishment is a strong deterrent. if someone know they will be put to death for committing a crime they will be less likely to do it.,The death penalty prevents crimes,-1,1
5330,We should abolish capital punishment,capital punishment is a strong deterrent. if someone know they will be put to death for committing a crime they will be less likely to do it.,The death penalty saves costs to the state,-1,0
5331,We should abolish capital punishment,capital punishment is a viable last resort for serious offenders with no possibility of rehabilitation.,The death penalty helps the victim/their family,-1,0
5332,We should abolish capital punishment,capital punishment is a viable last resort for serious offenders with no possibility of rehabilitation.,The death penalty is acceptable in cases of severe crimes,-1,1
5333,We should abolish capital punishment,capital punishment is a viable last resort for serious offenders with no possibility of rehabilitation.,The death penalty prevents crimes,-1,0
