,Unnamed: 0,topic,argument,key_point,stance,label
1829,6010,We should abolish capital punishment,there are better ways of punishing criminals nowadays and some can be rehabilitated.,The death penalty is ineffective in deterring crimes,1,0
14904,776,Assisted suicide should be a criminal offence,People and family members must decide what they want to do with their life and body,Assisted suicide gives dignity to the person that wants to commit it,-1,0
15010,882,Assisted suicide should be a criminal offence,Some people would fake assisted suicide to actually murder someone.,Assisted suicide violates the doctor's role,1,0
4816,4919,We should abandon the use of school uniform,they prevent dress code violations and limit pupils indesicivnes in choosing what to wear.,School uniform reduces bullying,-1,0
12099,17981,We should legalize cannabis,sale of cannabis should not be legalized because it is a dangerous drug with known risks and adverse effects,Cannabis increases lack-of-judgement/accidents,-1,0
1881,6062,We should abolish capital punishment,"to provide an example of acting as we wish others to act, we should not kill those who commit serious crimes. doing so puts humanity on their level and excuses their behaviour on an existential level.",The death penalty irreversible,1,0
4459,4562,We should abandon the use of school uniform,school uniforms help to prevent certain types of bullying,School uniform reduces bullying,-1,1
12144,18026,We should legalize cannabis,"the entire chain of suppliers, including growers, distributors, and retailers will be regulated while marijuana is legalized and business is taken away from the drug cartels",Cannabis is safe/healthy/pain-relief,1,0
12386,18268,We should legalize cannabis,we should not legalize cannabis then more children will get a hold of it,Cannabis increases lack-of-judgement/accidents,-1,0
12546,15639,We should fight urbanization,urban cities allow for more people to live in a small area.,Urbanization benefits the environment,-1,0
1478,5659,We should abolish capital punishment,"Government violence is more extreme than individual violence, making it so the death penalty is never justified.",The death penalty irreversible,1,0
2886,13912,We should close Guantanamo Bay detention camp,Where there's toleration of imprisonment without due process there's a risk of losing the entire democracy.,The Guantanamo bay detention camp is expensive,1,0
15015,887,Assisted suicide should be a criminal offence,"some vulnerable people might feel pressure to end their lives to ease their families. therefore, assisted suicide shouldn't be legal.",Assisted suicide violates the doctor's role,1,0
6766,19907,We should legalize sex selection,sex selection should be a parent's choice.,Sex selection will prevent abortions/infanticide,1,0
5405,21115,We should prohibit women in combat,"we should prohibit women in combat, the natural urge for a man to protect a woman means male military are distracted from their combat",Women should serve in safer roles,1,0
14425,297,Assisted suicide should be a criminal offence,assisted suicide is unethical how do we know that the person who is assisting the suicide hasnt got something to gain from the death of the other person,Assisted suicide violates the doctor's role,1,0
4497,4600,We should abandon the use of school uniform,school uniforms keep children from expressing themselves.,School uniform is harming the student's self expression,1,1
16716,2861,The vow of celibacy should be abandoned,the vow of celibacy should be abandoned because it today's world it mostly goes ignored,Celibacy is too pressuring/diffcult,1,0
402,10539,We should ban human cloning,human cloning is the creation of a human being from your own characteristics and genes just like you that is confused before the eyes of others,Cloning is unsafe,1,0
5555,21265,We should prohibit women in combat,women are just as capable of combat as men are and not allowing them in a combat situation is sex discrimination.,Women should be accepted as long as they pass the tests,-1,0
1756,5937,We should abolish capital punishment,"the death penalty is a racially biased punishment, and also ineffective in deterring crime",The death penalty irreversible,1,0
10624,7487,We should abolish the right to keep and bear arms,the right to keep and bear arms should be abolished because countries with strict gun control are far safer because they have far fewer incidents of violent gun crime,Banning guns would save lives,1,1
5323,21033,We should prohibit women in combat,we should not prohibit women in combat because they are equally capable in doing what men do there are many other areas they can contribute besides being in the infantry,Women should be able to serve in combat if they choose to,-1,0
6851,19992,We should legalize sex selection,Sex selection will increase the already ridiculously high number of abortions happening in the world.,Sex selection is expensive,-1,0
11184,17066,We should legalize cannabis,availability of legalized marijuana would have a trickle-down impact and the drug would find its way to underage persons,Cannabis harms the body,-1,0
2083,13109,We should close Guantanamo Bay detention camp,guantanamo bay detection camp should be closed because it's a place of extreme torture.,The Guantanamo bay detention camp personnel commit crimes against the prisoners,1,1
6380,19521,We should legalize sex selection,parents should not play god and choose what kind of child they want,Sex selection is expensive,-1,0
7902,15251,We should end mandatory retirement,we should not force people out of the workplace if they can continue to offer skills to companies.,A mandatory retirement reduces the quality of life for those forced to retire,1,0
5437,21147,We should prohibit women in combat,with modern equipment there is no difference between the abilities of males and females in combat roles therefore we should allow women in combat,Women are an asset in combat,-1,0
10294,7157,We should abolish the right to keep and bear arms,it is not necessary to carry firearms when we have police officers who do an excellent job,Banning guns would save lives,1,0
2183,13209,We should close Guantanamo Bay detention camp,guantanamo bay is a place where terrorists can be held away from the general prison population where they would be vulnerable or in a position to spread their ideology,The Guantanamo bay detention camp is essential to gain intelligence,-1,0
7130,20271,We should legalize sex selection,"we should not legalise sex selection because in countries where everyone wants a male child, can cause massive problems to the country.",Sex selection can lead to gender imbalance,-1,1
4432,4535,We should abandon the use of school uniform,school uniforms help everyone feel more like each other and takes the focus off their clothes and allows for more focus on learning.,School uniforms encourage discipline or focus on learning,-1,1
6339,19480,We should legalize sex selection,most people believe that sex selection is immoral and unethical and leads to serious societal issues.,It is unethical/unhealthy for parents to intervene,-1,1
14875,747,Assisted suicide should be a criminal offence,no one should be able to get away with assisting suicide. it is nothing more than glorified murder. assisting should be replaced by helping these people find a better way to cope with their lives.,Assisted suicide is akin to killing someone,1,1
10984,15356,We should fight for the abolition of nuclear weapons,nuclear weapons are effective in creating a stand-off between counties that have them. this can result in less people dying.,Nuclear weapons is essential for protection and deterrence,-1,1
8673,14024,We should end affirmative action,affirmative action helps with employment equity.,Affirmative action boosts diversity,-1,0
13758,23008,We should subsidize space exploration,"Subsidizing space exploration will help us to learn more about the areas outside of earth's atmosphere and, perhaps, teach us things that will improve our quality of life here on earth.",Space exploration is financially beneficial,1,0
16985,3130,The vow of celibacy should be abandoned,"we live in a time were people's sexual experience isn't important anymore, being a virgin isn't a requisite to marriage.",Celibacy is too pressuring/diffcult,1,0
11909,17791,We should legalize cannabis,"legalizing cannabis opens the door to many more potentially dangerous drugs being legalized, we must make sure that the only legalized use of any drug is controlled by the medical profession.",Legal cannabis will boost the black-market/criminal activity,-1,0
4293,4396,We should abandon the use of school uniform,school uniforms cause undue financial hardships by forcing parents to buy a separate set of clothes just for school,School uniform harms learning/creativity,1,0
7587,14936,We should end mandatory retirement,mandatory retirement should be ended as it is discriminatory.,We should let everyone retire when they are ready,1,0
6822,19963,We should legalize sex selection,sex selection shouldn't be legalized because it's a breach of moral and ethics,Sex selection reaffirms gender stereotypes/biases,-1,0
15926,6955,We should abolish intellectual property rights,without intellection property rights there is no incentive to research and develop new products,Intellectual property rights incentivize creativity/innovation,-1,1
7371,14720,We should end mandatory retirement,it should be allowed so younger people can get into the workplace.,A mandatory retirement age creates opportunities for other workers,-1,1
16957,3102,The vow of celibacy should be abandoned,vow of celibacy is not fair to put on any human being because everyone has sexual urges which means the priests can commit evil acts of sex on minors. it should be abandoned.,Celibacy reduces the pool of people wanting to become priests,1,0
9497,11327,We should ban private military companies,private military companies are there for profit only,Private military companies are not professional,1,0
812,10949,We should ban human cloning,we should ban human cloning because it is against the natural law and it is morally wrong,Cloning is not understood enough yet,1,0
3790,12844,We should ban the use of child actors,we should ban child actors as a part of banning child labour. exploitation of a child through working is wrong regardless of the specific job role,Child performers are losing their childhood,1,0
6315,19456,We should legalize sex selection,Legalizing sex selection will help parents to have the exact family makeup they have always dreamed of.,Sex selection prevents diseases in the child,1,0
14534,406,Assisted suicide should be a criminal offence,"assisted suicide should be a criminal offense because death is death, at the end of the day someone is dead and you had a hand in it.",Assisted suicide is akin to killing someone,1,1
3874,12928,We should ban the use of child actors,we should not ban the use of child actors as many are talented actors who enjoy performing and can use this as a stepping stone to an adult career.,Child performers should not be banned as long as there is supervision/regulation,-1,0
6834,19975,We should legalize sex selection,sex selection will have devastating consequences for gender imbalance.,Sex selection reaffirms gender stereotypes/biases,-1,0
10635,7498,We should abolish the right to keep and bear arms,the right to keep and bear arms should not be abolished because it allows people to defend themselves,Gun control is ineffective,-1,0
13184,22434,We should subsidize space exploration,eventually we will need to seek out other planets to settle on in cases of emergency,Space exploration can help in colonizing the resources/lands of other planets,1,1
12112,17994,We should legalize cannabis,smoking cannabis causes unknown brain damage and can have effects lasting years after the last time it was smoked. people using cannabis are more likely to have mental health problems.,Cannabis harms the body,-1,1
4374,4477,We should abandon the use of school uniform,school uniforms don't let young people express their individuality,School uniforms increase conformity or harm individuality,1,1
13705,22955,We should subsidize space exploration,space will one day be an important resource so we need to further explore it.,Space exploration can help in colonizing the resources/lands of other planets,1,1
4246,4349,We should abandon the use of school uniform,School uniforms can alleviate peer pressure due to clothing choices.,School uniforms encourage discipline or focus on learning,-1,0
12719,15812,We should fight urbanization,urbanization destroys the natural beauty of the area and should be fought against,Urbanization is causing a strain on the cities' resources,1,0
15193,6222,We should abolish intellectual property rights,Another person might be able to make a concept work far better than the original person who thought up the idea.,Intellectual property rights waste money,1,0
11826,17708,We should legalize cannabis,"it will encourage the younger generation to start taking the drug, there will be more cases of people driving under the influence which is a danger to others resulting in serious injury or even death",Cannabis harms the body,-1,0
14042,23292,We should subsidize space exploration,We should subsidize space exploration as it is important for the world to know what else is out there.,Space exploration is financially beneficial,1,0
15775,6804,We should abolish intellectual property rights,we should abolish intellectual property rights because it discourages new ideas.,intellectual property rights are ineffective,1,0
7853,15202,We should end mandatory retirement,we should end mandatory retirement because no one has the right to tell another person when they have to stop working. it is an individual's choice and should be left up to them when they wish to call it quits.,A mandatory retirement age decreases institutional knowledge,1,0
4094,4197,We should abandon the use of school uniform,"school uniform enables all children to look the same, thus reducing the likelihood of bullying.",School uniforms create a sense of equality/unity,-1,0
7146,20287,We should legalize sex selection,we should not legalize sex selection as this is enabling people to play god and may lead to the destabilisation of future generations e.g. more males than females,Sex selection is against tradition,-1,0
4822,4925,We should abandon the use of school uniform,"to use a similar garment in the educational establishments means to strengthen the identification of the student with the educational institution, be it pre-school, primary or high school.",School uniforms saves costs,-1,0
2745,13771,We should close Guantanamo Bay detention camp,"we got a lot of intelligence information from the detainees there that already helped us in the war on terrorism, so we should keep the camp.",Closing the Guantanamo bay detention camp would harm national security,-1,0
7281,14630,We should end mandatory retirement,as people live longer and have variable health the concept that all need to retire at a set age is archaic and so we should end mandatory retirement.,A mandatory retirement reduces the quality of life for those forced to retire,1,0
15257,6286,We should abolish intellectual property rights,ideas are free thoughts so it's not fair for one person to profit off of it,Intellectual property rights harm creativity/innovation,1,0
177,10314,We should ban human cloning,human cloning can help doctors find a cure for illnesses we otherwise won't be able to survive,Cloning can be used for organ replication,-1,0
716,10853,We should ban human cloning,there are too many things that can go wrong and we should not allow human cloning,Cloning is unnatural,1,0
4960,5063,We should abandon the use of school uniform,we should not abandon the use of school uniform because with everyone wearing the same thing children cannot bully other children for how they are dressed,School uniforms encourage discipline or focus on learning,-1,0
1261,5442,We should abolish capital punishment,capital punishment is not a moral way of dealing with crime.,The death penalty is a waste of resources,1,0
1098,5279,We should abolish capital punishment,"Capital punishment has historically been unfairly used more against minorities and the weak people in society, and I believe it's true today",The death penalty is a waste of resources,1,0
9114,14465,We should end affirmative action,we should employ people based on their suitability for the role rather than their status.,Affirmative action diminishes the achievements of minorities,1,0
7094,20235,We should legalize sex selection,we should legalize sex selection because it should be up to people to make that choice. freedom of choice is vital in democracies and should be protected where possible.,Sex selection allows for better family planning,1,0
4070,4173,We should abandon the use of school uniform,people should be able to wear whatever they want. a school uniform stunts students' creativity.,School uniform is harming the student's self expression,1,1
9216,14567,We should end affirmative action,we should not end affirmative action because it is needed to help people from being discriminated against,Affirmative action reduces discrimination,-1,1
12052,17934,We should legalize cannabis,marijuana use harms more than just the person using the drug and societal costs of marijuana would outweigh its tax revenues,Legal cannabis can be getting to the hand of underage teenagers/children,-1,0
10305,7168,We should abolish the right to keep and bear arms,it is society's right to protect itself and arms are the best deterrent .,Gun ownership promotes self protection,-1,1
8361,22216,We should subsidize journalism,subsidizing journalism would eventually lead to biased news and articles,It is preferable to spend the money elsewhere,-1,0
7560,14909,We should end mandatory retirement,mandatory retirement put high-skilled workers out of jobs. putting a pressure in the working field and jeopardizing economic progress,A mandatory retirement age decreases institutional knowledge,1,1
16790,2935,The vow of celibacy should be abandoned,the vow of celibacy should not be abandoned because it is part of some religions,Priests choose to be celibates,-1,0
12392,18274,We should legalize cannabis,"we should not legalize cannabis, it is a gateway drug and causes psychosis and paranoia",Cannabis is a gateway-drug/addictive,-1,1
16651,2796,The vow of celibacy should be abandoned,the vow of celibacy represents an outdated view on sexual behavior,Celibacy is too pressuring/diffcult,1,0
641,10778,We should ban human cloning,if we begin to play god with our scientific advances that could very well lead to our demise.,Cloning is not understood enough yet,1,0
2648,13674,We should close Guantanamo Bay detention camp,the guantanamo bay detention camp treats its prisoners inhumanely; therefore it should be closed.,Detainees have the right to trial in US courts,1,0
10098,11928,We should ban private military companies,wealthy people and companies may need additional military protection and should be able to use it.,Hiring private military companies is financially beneficial,-1,0
7234,20375,We should legalize sex selection,"what kind of society do we live in if people can murder their own child just because it is the ""wrong"" gender?",Sex selection is against tradition,-1,0
5088,20798,We should prohibit women in combat,gender should not matter when it comes to combat. as long as proper physical and mental tests are in place that iss all that should matter for selection.,Women can create unique skills/strategies,-1,0
15743,6772,We should abolish intellectual property rights,we need to do away with intellectual property rights so it doesn't slow down innovation,Intellectual property restricts access to important information/products,1,0
5732,21442,We should prohibit women in combat,women can have any job they want in these modern times and if serving their country is appealing to them then they should be allowed to serve just like anyone else.,Women should be able to serve in combat if they choose to,-1,1
9742,11572,We should ban private military companies,private military companies serve a purpose especially in war torn areas and a lot of military veterans,Hiring private military companies is financially beneficial,-1,0
11138,15510,We should fight for the abolition of nuclear weapons,We should fight for the abolition of nuclear weapons because they pose an existential threat to civilization.,Nuclear weapons provoke or escalate a disastrous military action,1,1
15938,6967,We should abolish intellectual property rights,"without intellectual property rights, the most innovative minds will have no motivation to come up with the best ideas.","People, or a business, own their innovations and should be able to be compensated for their endeavour",-1,0
14265,137,Assisted suicide should be a criminal offence,"assisted suicide is a humane and caring way to allow a person to help another person whose life is too difficult to be lived properly in any manner, so it should not be criminalized.",Assisted suicide reduces suffering,-1,1
7654,15003,We should end mandatory retirement,people are living longer and so creating an age where you have to retire could result in people being out of employment for over 30 years.,A mandatory retirement age decreases institutional knowledge,1,0
11968,17850,We should legalize cannabis,Legalizing marijuana boosts the economy and increases tax revenue.,Cannabis is financially beneficial,1,1
14227,99,Assisted suicide should be a criminal offence,assisted suicide is a compassionate way to help people choosing to end their life in a nonviolent way.,Assisted suicide gives dignity to the person that wants to commit it,-1,0
16476,2621,The vow of celibacy should be abandoned,the vow of celibacy is an important aspect of the clergy. it keeps them clear and able to lead and must remain.,Priests choose to be celibates,-1,0
4763,4866,We should abandon the use of school uniform,the school uniform makes everyone equal and increases learning.,School uniforms create a sense of equality/unity,-1,1
7446,14795,We should end mandatory retirement,Mandatory retirement forces companies to exert resources in finding and hiring replacements for individuals they might not have been planning on replacing.,A mandatory retirement is not fair/discriminatory,1,0
6407,19548,We should legalize sex selection,people should have the freedom to choose the gender they want their baby to be.,Sex selection allows for better family planning,1,0
15413,6442,We should abolish intellectual property rights,intellectual property rights are what protects an individual who earns his living from that work,Intellectual property rights incentivize creativity/innovation,-1,0
14644,516,Assisted suicide should be a criminal offence,assisted suicide would save terminally i'll people pain and suffering.,People should have the freedom to choose to end their life,-1,0
15308,6337,We should abolish intellectual property rights,information should be freely available to all,Intellectual property restricts access to important information/products,1,1
13297,22547,We should subsidize space exploration,money can be spent on more lucrative things such as feeding the hungry and providing homes. subsidizing space exploration can take away from that.,Space exploration is expensive,-1,0
11590,17472,We should legalize cannabis,cannabis leads on to much harder drugs and addiction,Legal cannabis can be getting to the hand of underage teenagers/children,-1,0
14215,87,Assisted suicide should be a criminal offence,assisted suicide helps terminally ill people end their suffering,Assisted suicide gives dignity to the person that wants to commit it,-1,0
15071,943,Assisted suicide should be a criminal offence,"the end of life can be painful and humiliating, and we should allow people the right to decide when they are ready to end their own suffering.",The terminally ill would benefit from assisted suicide,-1,0
12941,16034,We should fight urbanization,urbanization leads to more concentrated pockets of pollution.,Urbanization is causing a strain on the cities' resources,1,0
3228,12282,We should ban the use of child actors,"child actors do not get a proper education and as such, the use of child actors should be banned",Child performers tend to develop problems later in life,1,0
6117,19258,We should legalize sex selection,families should have the right to choose the sex of their babies.,Sex selection will prevent abortions/infanticide,1,0
4200,4303,We should abandon the use of school uniform,School uniforms are expensive for the school and take money from other important programs.,School uniforms are often uncomfortable/sexist,1,0
3547,12601,We should ban the use of child actors,Many child actors are put under a huge amount of pressure to perform well and can be denied most of their childhood by unscrupulous adults that only want to profit from their talents.,Child performers have a lot of pressure,1,1
9106,14457,We should end affirmative action,we need to pay special attention to those groups who have been treated unfairly throughout history.,Affirmative action reduces discrimination,-1,0
6280,19421,We should legalize sex selection,"legalization of sex selection should not occur as it is a form of discrimination, and gender should not be the basis of whether somebody lives or dies, even if they are yet to be born.",It is unethical/unhealthy for parents to intervene,-1,0
12533,15626,We should fight urbanization,"there are less farms that can support a family. people who want access to things like great libraries, hospitals, theaters, need to live in a metropolis.",Cities offer more opportunities,-1,1
13709,22959,We should subsidize space exploration,space will one day be an important resource so we need to further explore it.,Space exploration unravels information about the universe,1,0
7916,15265,We should end mandatory retirement,without mandatory retirement people can be free to work for extremely long times. this reduces the pool of jobs for younger workers.,mandatory retirement age benefits those that are about to be retired,-1,0
13895,23145,We should subsidize space exploration,this would enable even further exploration into unknown universes and discoveries we could not have previously imagined if there were more money via subsidies to space exploration projects.,Space exploration unravels information about the universe,1,1
6983,20124,We should legalize sex selection,"There is no certainty that the process will be a success, and couples may end up wasting time and money.",Sex selection can lead to gender imbalance,-1,0
6234,19375,We should legalize sex selection,"it should not be legal, it is costly and morally wrong",Sex selection will create abortions/infanticide,-1,0
12050,17932,We should legalize cannabis,marijuana use harms more than just the person using the drug and societal costs of marijuana would outweigh its tax revenues,Cannabis increases lack-of-judgement/accidents,-1,0
12903,15996,We should fight urbanization,urbanization is something that shouldn't happen because of poverty and overcrowding.,Urbanization harms the environment,1,0
13507,22757,We should subsidize space exploration,"space exploration is horrifically expensive, and the money would be far better spent on more earth bound needs, such as medical research.",Space exploration is expensive,-1,1
16453,2598,The vow of celibacy should be abandoned,the vow of celibacy is a safe-guard that a person entering certain positions have committed their entire heart and soul to that profession.,Celibacy makes the priests to be perceived as holy,-1,0
15516,6545,We should abolish intellectual property rights,"intellectual property rights protects the ideas that will lead to a solid invention/investment and therefore need to be protected, not abolished.",Intellectual property rights protect against stealing,-1,0
727,10864,We should ban human cloning,there is a lot we can learn medically from human cloning and we should do it responsibly,Cloning promotes health,-1,0
14489,361,Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because killing someone is wrong even if they want you to do it,Assisted suicide violates the doctor's role,1,0
6021,21731,We should prohibit women in combat,women should not be in combat because they do not have the muscle mass needed to be as strong as men. they could be a danger to themselves and others when not strong enough to do hand to hand combat.,Women cannot overcome physical/emotional/mental barriers,1,1
13578,22828,We should subsidize space exploration,space exploration is the next frontier.,Space exploration unravels information about the universe,1,0
7527,14876,We should end mandatory retirement,mandatory retirement is not fair for those who are actually more than capable to carry on with their jobs,A mandatory retirement age decreases institutional knowledge,1,0
4821,4924,We should abandon the use of school uniform,"to use a similar garment in the educational establishments means to strengthen the identification of the student with the educational institution, be it pre-school, primary or high school.",School uniforms encourage discipline or focus on learning,-1,0
16605,2750,The vow of celibacy should be abandoned,the vow of celibacy is what drives the religious people to commit crimes,Celibacy leads to wrong sexual behaviour,1,1
1286,5467,We should abolish capital punishment,"capital punishment is simply a waste of resources, and it does not serve as an effective deterrent to major crimes.",The death penalty is a waste of resources,1,1
8715,14066,We should end affirmative action,affirmative action is in a way just another form of descrimination. no one should receive extra benefits just based on their race or sex.,Affirmative action diminishes the achievements of minorities,1,0
5069,20779,We should prohibit women in combat,"elimating women from combat situations flies in the face of gender equality - it is outdated to limit the participation of somebody purely based on sex, irrespective of how dangerous it may be.",Women should be able to serve in combat if they choose to,-1,0
13411,22661,We should subsidize space exploration,space exploration has the potential to bring an economy worth trillions . we should do all in our power to help that become a reality.,Space exploration can help in colonizing the resources/lands of other planets,1,0
7506,14855,We should end mandatory retirement,mandatory retirement is discriminatory and should be banned,A mandatory retirement age decreases institutional knowledge,1,0
9851,11681,We should ban private military companies,the fact that private military companies exist simply breeds the thoughts of violence and escalates the chances of conflict. we should not allow these companies to exist.,Private military companies main interest is profit,1,0
16256,2401,The vow of celibacy should be abandoned,it should be abandoned because they have the same desires as every human has,Celibacy leads to wrong sexual behaviour,1,0
259,10396,We should ban human cloning,human cloning could help people with infertility issues. they could potentially pick certain traits for their children. it would also advance science in genetic research.,Cloning promotes science/research,-1,1
14374,246,Assisted suicide should be a criminal offence,assisted suicide is not only immoral but is also a form of murder and should be a criminal offence.,Assisted suicide should not be allowed because many times people can still get better,1,0
16013,2158,The vow of celibacy should be abandoned,celibacy before marriage protects young people from disease,Removing celibacy could lead to sexually reckless acts,-1,1
16403,2548,The vow of celibacy should be abandoned,the vow of celibacy allows priests to remain 100% focused on their congregation and to not be distracted by partners or children or other family matters,Celibacy makes the priests to be perceived as holy,-1,0
7925,21780,We should subsidize journalism,better journalism is needed to keep our governments in check and the general population in the know,Subsidy increases objectivity in reporting,1,0
2622,13648,We should close Guantanamo Bay detention camp,the camp should remain open and it keep society safe,The Guantanamo bay detention camp is essential to gain intelligence,-1,0
16987,3132,The vow of celibacy should be abandoned,"we live in a time were people's sexual experience isn't important anymore, being a virgin isn't a requisite to marriage.",Celibacy leads to wrong sexual behaviour,1,0
7162,20303,We should legalize sex selection,We should not legalize sex selection because it discriminates based on an immutable trait.,Sex selection is expensive,-1,0
4261,4364,We should abandon the use of school uniform,School uniforms can be too expensive for some parents.,School uniforms increase conformity or harm individuality,1,0
16924,3069,The vow of celibacy should be abandoned,"those adhering to a vow of celibacy show their dedication to their faith, such moral strength is something to be commended.",Removing celibacy could lead to sexually reckless acts,-1,0
16269,2414,The vow of celibacy should be abandoned,more men and women would be willing to become priests or pastors.,Celibacy is too pressuring/diffcult,1,0
7530,14879,We should end mandatory retirement,mandatory retirement is not fair for those who are actually more than capable to carry on with their jobs,A mandatory retirement reduces the quality of life for those forced to retire,1,0
