,Unnamed: 0,topic,argument,key_point,stance,label
16135,2280,The vow of celibacy should be abandoned,celibacy shouldnt be abandoned it can be empowering in the right situation,Celibacy allows a priest to focus on God,-1,0
11997,17879,We should legalize cannabis,Legalizing marijuana would lead to a reduction in gang-related drug violence.,Legalizing cannabis will reduce black-market/criminal activity,1,1
2547,13573,We should close Guantanamo Bay detention camp,its continued existence beyond the boundaries of the law makes a mockery of american values and weakens our standing in the world,The Guantanamo bay detention camp harms the US image/reputation/institutions,1,1
12297,18179,We should legalize cannabis,we should legalize cannabis because it helps many people that have pain,People should be allowed to do whatever they want to their own bodies,1,0
8491,22346,We should subsidize journalism,We should not subsidize journalism because there is already sufficient coverage of major issues from different viewpoints without government action.,Government intervention has the risk of inserting bias/harming objectivity,-1,0
13927,23177,We should subsidize space exploration,we have too many problems here on our own planet to worry about putting money into searching space.,Space exploration can be carried by the private sector,-1,0
3047,12101,We should ban the use of child actors,"child actors are exposed to far too many adult situations and are exposed to many harmful conducts in the acting world, therefore child actors should be banned.",Child performers tend to develop problems later in life,1,0
12089,17971,We should legalize cannabis,recreational weed will increase dui incidents,Cannabis is a gateway-drug/addictive,-1,0
3592,12646,We should ban the use of child actors,"should not be prohibited, children have to start developing their talents as a child, and prohibiting it would be cutting many opportunities",The parents should decide for their child,-1,0
2047,13073,We should close Guantanamo Bay detention camp,for safety reason we need to keep the camp open.,The Guantanamo bay detention camp is better for prisoners than the alternatives,-1,0
15731,6760,We should abolish intellectual property rights,we cannot abolish intellectual property rights because artists and scientists need to have their ideas and innovations protected so that they can earn a living in their fields,"People, or a business, own their innovations and should be able to be compensated for their endeavour",-1,1
6548,19689,We should legalize sex selection,sex selection can possibly destroy the natural selection and over balance the society.,Sex selection will create abortions/infanticide,-1,0
10618,7481,We should abolish the right to keep and bear arms,the right to keep and bear arms is what has kept us free for all these years. we cannot allow it to be abolished now.,Gun ownership is necessary for hunting/sports-shooting,-1,0
17004,3149,The vow of celibacy should be abandoned,"we shouldn't ban celiebcay because someone might not be interested in sex and it could force them into doing something that they might not want to do,",Religious experiences and traditions should be maintained,-1,0
12796,15889,We should fight urbanization,urbanization is a grave threat to our environment and it should be stopped.,Urbanization harms the environment,1,1
2078,13104,We should close Guantanamo Bay detention camp,guantanamo bay detection camp offers an essential form of law enforcement and imprisonment for serious criminals and has provided important intelligence in ongoing surveillance.,The Guantanamo bay detention camp is essential to gain intelligence,-1,1
3051,12105,We should ban the use of child actors,child actors are exposed to too much of an adult world and are at a greater risk of being exposed to drugs and drink. many former child actors have ended up as addicts because of this.,Child performers tend to develop problems later in life,1,1
7898,15247,We should end mandatory retirement,we should not end mandatory retirement for a few reasons. the older workers are clogging up positions that the younger generations need to start their careers. the older workers also aren't as efficient.,mandatory retirement age benefits those that are about to be retired,-1,0
5762,21472,We should prohibit women in combat,women don't belong on the battlefield because there are so many things that can go wrong if they get too emotional,Women soldier capture is a big concern,1,0
9340,11170,We should ban private military companies,"pmcs should be banned, as they are profiting from war and destruction. it is their interest to cause and prolong discord in the world.",Private military companies are not professional,1,0
5567,21277,We should prohibit women in combat,Women are more emotionally sensitive and may have more emotional problems after returning from combat.,Women in combat can be a distraction or harm the function of the military,1,0
12444,15537,We should fight urbanization,cities bring everything closer together and make it easier to do everything as a result of that.,Urbanization benefits the environment,-1,0
10230,7093,We should abolish the right to keep and bear arms,"if no one was able to bear arms, no one could get shot",Guns can fall into the wrong hands,1,0
573,10710,We should ban human cloning,"human cloning will end up with individuals who only exist as a means to an end, which is deeply unethical.",Cloning is unethical/anti-religious,1,1
3675,12729,We should ban the use of child actors,the world of show has proven to be full of vices that in the case of children is very harmful,Child performers tend to develop problems later in life,1,0
3259,12313,We should ban the use of child actors,"child actors lose their childhood by working at such a young age, growing up in a stressful, toxic environment, instead of a loving family.",Being a performer harms the child's education,1,0
15796,6825,We should abolish intellectual property rights,"we should abolish intellectual property rights because the creation of a product does not make any money, the marketing and sale does.",Intellectual property restricts access to important information/products,1,0
670,10807,We should ban human cloning,it may lead to medical break throughs,Cloning promotes science/research,-1,1
1189,5370,We should abolish capital punishment,"capital punishment is basically taking the life of an unarmed, helpless person.",The death penalty is a waste of resources,1,0
8708,14059,We should end affirmative action,affirmative action is damaging to people from minority groups who gain their position through their own merit,Affirmative action is not just,1,0
16287,2432,The vow of celibacy should be abandoned,"people can do what they want. if they want to stay celibate, that is their business.",Removing celibacy could lead to sexually reckless acts,-1,0
6678,19819,We should legalize sex selection,"sex selection is playing god, will create gender imbalances and create negative stereotypes concerning male/female preferences.",Sex selection reaffirms gender stereotypes/biases,-1,1
12593,15686,We should fight urbanization,urbanization allows people to move away from high crime areas.,Urbanization benefits the environment,-1,0
15614,6643,We should abolish intellectual property rights,it is too difficult to police intellectual property rights so should be abolished to focus resources elsewhere.,Intellectual property rights are unfair,1,0
8585,13936,We should end affirmative action,affirmative action can be considered discriminatory against poor whites,Affirmative action diminishes the achievements of minorities,1,0
9880,11710,We should ban private military companies,there are fewer american casualties when using private military companies.,Hiring private military companies is financially beneficial,-1,0
16234,2379,The vow of celibacy should be abandoned,it is ridiculous that anyone would not have sex because of some 2000 year old fairy tale.,Celibacy leads to wrong sexual behaviour,1,0
2621,13647,We should close Guantanamo Bay detention camp,the camp should remain open and it keep society safe,The Guantanamo bay detention camp is better for prisoners than the alternatives,-1,0
384,10521,We should ban human cloning,human cloning is messing with nature and also with some religion too and should be banned ad hock.,Cloning is unethical/anti-religious,1,1
16618,2763,The vow of celibacy should be abandoned,"the vow of celibacy must be abandoned because it is something old, the world has evolved and this is going to be understood by the faithful.",Celibacy is too pressuring/diffcult,1,0
12520,15613,We should fight urbanization,the more crowded a place become the more crime rises.,Urbanization causes crime,1,1
8416,22271,We should subsidize journalism,there are more important issues like health and safety to to spend our money on than journalism,Government intervention has the risk of inserting bias/harming objectivity,-1,0
6069,19210,We should legalize sex selection,"a parent is suppose to love a child no matter they are male or female, the natural way of determination, and sex selection makes children commodities instead of miracles.",Sex selection will create abortions/infanticide,-1,0
11859,17741,We should legalize cannabis,legalization of marijuana will create a huge industry that utilizes people for profit and targets children,Cannabis harms the body,-1,0
15380,6409,We should abolish intellectual property rights,"intellectual property rights are necessary to protect those who came up with better solutions and products, they are meant to give the clever more money to deal with new ideas","People, or a business, own their innovations and should be able to be compensated for their endeavour",-1,1
15858,6887,We should abolish intellectual property rights,we should not abolish intellectual property rights because abolishing intellectual property rights of individuals would severely cripple the creativity necessary for achievements in many different areas,Intellectual property rights protect against stealing,-1,0
7590,14939,We should end mandatory retirement,mandatory retirement should be ended as it is unfair on older people.,A mandatory retirement is not fair/discriminatory,1,1
13998,23248,We should subsidize space exploration,we should not subsidize space exploration because it is very expensive in terms of the minute benefit we as a nation get out of it.,There are issues more important to fund than space exploration,-1,0
3558,12612,We should ban the use of child actors,many child actors successfully balance acting with school and grow up to be well adjusted adults.,The parents should decide for their child,-1,0
3125,12179,We should ban the use of child actors,child actors are often exploited by the film industry or their own parents.,Child performers are at risk of exploitation,1,1
8151,22006,We should subsidize journalism,journalism should be funded by the government as it promotes learning and worldwide communication.,Subsidies will increase the quality of journalism,1,0
7320,14669,We should end mandatory retirement,Forcing members of a profession to retire at a certain age creates an experience drain.,A mandatory retirement age harms the economy,1,0
7677,15026,We should end mandatory retirement,people have the right to work until they want,We should let everyone retire when they are ready,1,1
12889,15982,We should fight urbanization,urbanization is not good for peoples mental health and makes them feel isolated due to overcrowding,Urbanization harms the environment,1,0
3423,12477,We should ban the use of child actors,children shouldn't have to work at all- they should be playing and learning.,Child performers have a lot of pressure,1,0
215,10352,We should ban human cloning,human cloning can provide huge breakthroughs in the medical field.,Cloning can be used for organ replication,-1,0
2217,13243,We should close Guantanamo Bay detention camp,guantanamo bay is an important part of our military arsenal and cannot be removed. it stands as a testament that we are stronger,The Guantanamo bay detention camp is essential to gain intelligence,-1,0
5415,21125,We should prohibit women in combat,we shouldn't prohibit women in combat as woman are equal to men in many ways. we all have the right to fight,Women can overcome differences and be just as capable in combat,-1,0
16579,2724,The vow of celibacy should be abandoned,"the vow of celibacy is outdated, times have changed. it also begs to question whether the vow of celibacy is contributing to the frequent assaults plaguing the catholic church.",Celibacy is unhealthy/unnatural,1,0
5315,21025,We should prohibit women in combat,"we should not prohibit women in combat because if a woman wants to serve, a doctor should determine it on a case by case basis rather than banning the gender as a whole.",Women can overcome differences and be just as capable in combat,-1,0
12164,18046,We should legalize cannabis,"The increased tax revenue gained from legalizing marijuana can be used to fund public projects, fix roads, improve schools, etc.",If cannabis was legalized it could be regulated,1,0
3479,12533,We should ban the use of child actors,"if the child likes and wants to be an actor, they should be able to. it gives them extra benefits that other children do not acquire.",Child performers should not be banned as long as there is supervision/regulation,-1,0
12427,18309,We should legalize cannabis,"while benefits exist, so do risks. new studies have shown that there are also dangers associated with use especially by teenagers, where their brain is impacted. long term effects are too risky.",Cannabis is a gateway-drug/addictive,-1,0
9455,11285,We should ban private military companies,private military companies are not trained to handle situations like military and can be dangerous to themselves and others. the should be banned for the safety of all.,Private military companies are less ethical and violate rights or commit crimes,1,0
12085,17967,We should legalize cannabis,people use it anyway and it has many health benefits.,Legalizing cannabis will reduce black-market/criminal activity,1,0
4030,4133,We should abandon the use of school uniform,Kids having to wear school uniforms is not fair because it doesn't allow individuality,School uniforms increase conformity or harm individuality,1,1
4227,4330,We should abandon the use of school uniform,school uniforms are restrictive towards freedom of expression,School uniforms are expensive,1,0
5173,20883,We should prohibit women in combat,men are physically superior to women. we should only have the strongest people in combat,Women in combat can be a distraction or harm the function of the military,1,0
4587,4690,We should abandon the use of school uniform,"School uniforms prevent students from being able to express themselves by forcing everyone to dress homogeneously, this is bad for mental health and personal development.",School uniform is harming the student's self expression,1,1
7229,20370,We should legalize sex selection,"we shouldn't legalize sex selection because some people can't have children at all, they should be happy that they have blessed with a miracle. if you want to choose a sex then foster or adopt a certain sex",Sex selection is expensive,-1,0
10292,7155,We should abolish the right to keep and bear arms,it is necessary to abolish the right to have and carry weapons to ensure the safety of citizens.,Guns can fall into the wrong hands,1,0
2809,13835,We should close Guantanamo Bay detention camp,we should close guantanamo bay detection camp because it is costly for taxpayers to keep it open with only a small amount of criminals being held there,The Guantanamo bay detention camp harms the US image/reputation/institutions,1,0
11167,17049,We should legalize cannabis,adults should be able to choose substances that they want to use.,If cannabis was legalized it could be regulated,1,0
15293,6322,We should abolish intellectual property rights,if we abolish intellectual property rights people will just stop trying to invent new ides because they won't get anything for their efforts.,Intellectual property rights incentivize creativity/innovation,-1,1
10163,7026,We should abolish the right to keep and bear arms,firearms in the hands of civilians create societies more prone to violence,Banning guns would save lives,1,0
8324,22179,We should subsidize journalism,Subsidizing journalism means more resources at the disposal of journalists / news media companies. More resources leads to better-quality journalism overall.,A subsidy is important to make journalism viable,1,0
12781,15874,We should fight urbanization,urbanization increases pollution and congestion in cities.,Urbanization causes crime,1,0
663,10800,We should ban human cloning,it is not known what negative effects human cloning may have on the human race.,Cloning is not understood enough yet,1,1
14421,293,Assisted suicide should be a criminal offence,assisted suicide is too dangerous as if someone is weak and feeble a manipulative person could encourage them to kill themselves when they do not really want to.,People do not have the right to self-harm/harm others,1,0
12814,15907,We should fight urbanization,urbanization is bad for local communities.,Urbanization harms the environment,1,0
14925,797,Assisted suicide should be a criminal offence,people must be able to decide what to do or not with their lives therefore assisted suicide is an alternative,Assisted suicide gives dignity to the person that wants to commit it,-1,0
11519,17401,We should legalize cannabis,cannabis is no more dangerous than alcohol which is legal.,If cannabis was legalized it could be regulated,1,0
12429,18311,We should legalize cannabis,You can't legalize marijuana until you find a way to do test for it on auto drivers.,Cannabis harms the body,-1,0
16112,2257,The vow of celibacy should be abandoned,celibacy is the only 100% effective way to prevent pregnancy,Removing celibacy could lead to sexually reckless acts,-1,1
2737,13763,We should close Guantanamo Bay detention camp,too many people have been imprisoned on guantanamo bay unfairly as they were subsequently released without charge.,unjust treatment/tactics are used in the Guantanamo bay detention camp,1,0
16400,2545,The vow of celibacy should be abandoned,the vow of celibacy allows priests and nuns to concentrate on helping others and helps them in their walk with their god.,Removing celibacy could lead to sexually reckless acts,-1,0
12555,15648,We should fight urbanization,urbanisation increases crime since there's more people in an area.,Urbanization harms the environment,1,0
2559,13585,We should close Guantanamo Bay detention camp,knowing that 95% of guantanamo bay prisoners are innocent is just a prove that guantanamo bay has to be closed at once.,The Guantanamo bay detention camp harms the US image/reputation/institutions,1,0
1107,5288,We should abolish capital punishment,capital punishment is 100% effective as a deterrent to the criminal being executed; that killer cannot commit any more crimes,The death penalty is proportional,-1,0
12578,15671,We should fight urbanization,urbanization allows easier access to essential services such as healthcare and education,Urbanization benefits the economy,-1,0
2209,13235,We should close Guantanamo Bay detention camp,Guantanamo Bay is a symbol of Muslim discrimination.,Detainees have the right to trial in US courts,1,0
10280,7143,We should abolish the right to keep and bear arms,it is dangerous to have a community where so many people have lethal weapons,Guns can fall into the wrong hands,1,0
193,10330,We should ban human cloning,human cloning can help people who need transplant organs as they can create clones of themselves.,Cloning promotes health,-1,0
1690,5871,We should abolish capital punishment,"some criminals are too dangerous and have to be dealt with effectively, and capital punishment is the only choice.",The death penalty helps the victim/their family,-1,0
15146,1018,Assisted suicide should be a criminal offence,when people are in unbearable pain and suffering and have no chance of getting better it is cruel to keep them alive without their consent,The terminally ill would benefit from assisted suicide,-1,0
4011,4114,We should abandon the use of school uniform,"if you are not required to wear a uniform, you are free to choose clothing styles that are more favorable to your body type and coloring, which allows you to look your best",School uniforms increase conformity or harm individuality,1,1
6087,19228,We should legalize sex selection,allowing sex selection may lead to a gender imbalance in the population causing problems for future generations.,Sex selection reaffirms gender stereotypes/biases,-1,0
11705,17587,We should legalize cannabis,"Growing marijuana harms the environment. Marijuana farming results in deforestation, soil erosion, habitat destruction and landslides.",Legal cannabis can be getting to the hand of underage teenagers/children,-1,0
13230,22480,We should subsidize space exploration,it can open doors for advancement and should be supported by the government.,Space exploration unravels information about the universe,1,0
13207,22457,We should subsidize space exploration,"humans are explorers, it's built into us, it's our destiny and it's therefore within our interests to spend money and resources to discover what's out there.",Space exploration unravels information about the universe,1,1
8547,22402,We should subsidize journalism,We should subsidize journalism to help them to cover more stories real stories with facts more efficiently and to reach more people about important issues in our day to day life from politic to the world issues,A subsidy is important to make journalism viable,1,0
2133,13159,We should close Guantanamo Bay detention camp,"guantanamo bay exists to remove dangerous terrorists from the outside world, eliminated their ability to recruit and plan attacks.",Closing the Guantanamo bay detention camp would harm national security,-1,1
5466,21176,We should prohibit women in combat,women and men serving in the same units on the front line can cause many problems. if romantic relations occur this can cause a distraction on the battlefield and disrupt teamwork if there is a falling out.,Men are better suited to combat roles than women,1,0
14356,228,Assisted suicide should be a criminal offence,assisted suicide is murder of another and should be considered a criminal offence.,Assisted suicide allows people to solicit someone to die to their own benefit,1,0
15932,6961,We should abolish intellectual property rights,without intellectual property rights creative people may not be able to make a living from their creativity. their work may then be lost as they have to take on other paying professions.,"People, or a business, own their innovations and should be able to be compensated for their endeavour",-1,1
1434,5615,We should abolish capital punishment,"Crimes that get the death penalty are rarely premeditated, which means capital punishment doesn't function as a deterant.",The death penalty irreversible,1,0
3793,12847,We should ban the use of child actors,We should ban child actors because many of them end up having troubles later in life and they are put at risk when they are on sets instead of being with people their own age.,Being a performer harms the child's education,1,0
1040,5221,We should abolish capital punishment,capital punishment can suffer from social or racial bias and in fact be used as a weapon against a certain section of society,State-sanctioned killing is principally wrong,1,0
9651,11481,We should ban private military companies,private military companies is bad for the military where spies and stealers pathway,Private military companies main interest is profit,1,0
10466,7329,We should abolish the right to keep and bear arms,the right to bear arms is a constitutional right granted to us and there is no reason why we should go backwards and take people's rights away from them.,Gun ownership is necessary for hunting/sports-shooting,-1,0
16078,2223,The vow of celibacy should be abandoned,celibacy is an outdated thinking that is not realistic,Celibacy is too pressuring/diffcult,1,0
7760,15109,We should end mandatory retirement,some people are capable of working way beyond the retirement age and should be able to work and increase their retirement funds as long as they ant.,We should let everyone retire when they are ready,1,1
2735,13761,We should close Guantanamo Bay detention camp,too many people have been imprisoned on guantanamo bay unfairly as they were subsequently released without charge.,The Guantanamo bay detention camp is expensive,1,0
4466,4569,We should abandon the use of school uniform,"School uniforms help unite the kids from each school, much like sports uniforms help unite sports teams.",School uniforms encourage discipline or focus on learning,-1,0
10086,11916,We should ban private military companies,we shouldn't ban private military companies because it will leave people without a job,Hiring private military companies is financially beneficial,-1,0
11255,17137,We should legalize cannabis,cannabis can offer solace for those people who suffer from great pain due to illness or disability. it is often better than medication that is currently available.,Alcohol and tobacco are more harmful drugs yet remain legal,1,0
6634,19775,We should legalize sex selection,"sex selection is a slippery slope that may lead to parents picking other traits to screen for, from innocent ones like hair color, to larger ones like iq.",Sex selection is against tradition,-1,0
15170,6199,We should abolish intellectual property rights,abolishing intellectual property rights removes the financial incentive to innovation.,Intellectual property rights incentivize creativity/innovation,-1,1
1933,6114,We should abolish capital punishment,we should abolish capital punishment because there is no possibility of correcting a miscarriage of justice where people have died for crimes they did not commit.,State-sanctioned killing is principally wrong,1,0
7789,15138,We should end mandatory retirement,"There is ample research to prove that, if given that opportunity, older workers are just as capable and productive as younger workers",A mandatory retirement age decreases institutional knowledge,1,0
13309,22559,We should subsidize space exploration,no one owns space and it's bigger than imaginable. there's no reason to race to and dump money into space exploration right now. more important causes like our starving or impoverished citizens come first.,Space exploration can be carried by the private sector,-1,0
13878,23128,We should subsidize space exploration,there is no urgent need for us to be exploring space. we don't need to waste our tax dollars on this right now. if there's any danger to our world then maybe it would be a good idea but there isn't.,Space exploration is ineffective,-1,0
2546,13572,We should close Guantanamo Bay detention camp,its continued existence beyond the boundaries of the law makes a mockery of american values and weakens our standing in the world,Detainees have the right to trial in US courts,1,0
12867,15960,We should fight urbanization,urbanization is killing off nature and its habitants,Urbanization harms the environment,1,1
6855,19996,We should legalize sex selection,"sex selection will invariably lead down a slippery slope of screening for other genetic factors: hair color, handedness, etc. where will it stop?",Sex selection is against tradition,-1,0
15110,982,Assisted suicide should be a criminal offence,there is too much potential for exploitation of assisted suicide by malicious relatives that it should be banned as a matter of individual safety,Assisted suicide should not be allowed because many times people can still get better,1,0
3185,12239,We should ban the use of child actors,child actors are vital to the entertainment industry.,The parents should decide for their child,-1,0
13997,23247,We should subsidize space exploration,we should not subsidize space exploration because it is very expensive in terms of the minute benefit we as a nation get out of it.,Space exploration is ineffective,-1,0
3727,12781,We should ban the use of child actors,this is child labor and child labor is illegal.,Child performers are losing their childhood,1,0
12382,18264,We should legalize cannabis,we should not legalize cannabis since it is a mood-altering drug that may lead younger people into trying more drugs.,Cannabis increases lack-of-judgement/accidents,-1,0
15254,6283,We should abolish intellectual property rights,ideas are free thoughts so it's not fair for one person to profit off of it,Intellectual property restricts access to important information/products,1,0
1712,5893,We should abolish capital punishment,strict capital punishment brings justice and closure to the victim's family,The death penalty prevents crimes,-1,0
3092,12146,We should ban the use of child actors,child actors are needed to play the roles of children,Child performers should not be banned as long as there is supervision/regulation,-1,0
12665,15758,We should fight urbanization,urbanization creates more poverty and crime.,Urbanization is causing a strain on the cities' resources,1,0
16322,2467,The vow of celibacy should be abandoned,religious institutions should not change their precepts only to fit in the with the prevailing ideas. if their policies are based on the truth of their beliefs then they should not change their positions,Celibacy allows a priest to focus on God,-1,0
14141,13,Assisted suicide should be a criminal offence,a person should have the dignity to choose how they die,Assisted suicide reduces suffering,-1,0
2049,13075,We should close Guantanamo Bay detention camp,"guantanamo bay allows the extraction of information from terrorists, information that is vital to our national security",Closing the Guantanamo bay detention camp would harm national security,-1,1
16802,2947,The vow of celibacy should be abandoned,the vow of celibacy should not be abandoned because people have the right to not enter into a marital or sexual relationship.,Removing celibacy could lead to sexually reckless acts,-1,0
12268,18150,We should legalize cannabis,we should legalize cannabis as it can help aid the recovery of many medical needs that alternative medicines don't help,People should be allowed to do whatever they want to their own bodies,1,0
12348,18230,We should legalize cannabis,we should legalize cannabis so people can use it for medicinal purposes,Cannabis is safe/healthy/pain-relief,1,1
369,10506,We should ban human cloning,human cloning is completely immoral because it turns people into commodities,Cloning is unsafe,1,0
11253,17135,We should legalize cannabis,cannabis can not be legal because of the damage that excessive consumption does,Legal cannabis can be getting to the hand of underage teenagers/children,-1,0
7473,14822,We should end mandatory retirement,mandatory retirement helps younger workers get jobs,A mandatory retirement age creates opportunities for other workers,-1,1
7648,14997,We should end mandatory retirement,people are living healthier longer now and forcing retirement based on arbitrary guidelines like age is a bad idea.,A mandatory retirement reduces the quality of life for those forced to retire,1,0
13775,23025,We should subsidize space exploration,the country needs to be prepared against other countries that use space exploration to advance both offensive and defensive strategies,Space exploration is financially beneficial,1,0
9277,11107,We should ban private military companies,if they are successful in their job can`t see any reason why they should be banned.,Hiring private military companies is financially beneficial,-1,0
