,Unnamed: 0,topic,argument,key_point,stance,label
10493,7356,We should abolish the right to keep and bear arms,the right to bear arms should be abolished because of the risks of more violence occurring because of it,Guns lead to accidental deaths,1,0
10588,7451,We should abolish the right to keep and bear arms,the right to keep and bear arms is one of the tenets of our country,Gun ownership is necessary for hunting/sports-shooting,-1,0
9878,11708,We should ban private military companies,the private military companies are owned by elites who bet on wars to obtain millions in profits,Private military companies cannot be trusted to be loyal to the hiring country,1,0
6481,19622,We should legalize sex selection,sex selection allows parents who want a girl to get a girl.,It is within the freedoms of the parents to select the sex of the child,1,1
687,10824,We should ban human cloning,the concept of human cloning is totally against human nature. this is tampering with things man wasn't meant to be involved with. it goes against god's will and should not happen.,Cloning is unethical/anti-religious,1,1
1040,5221,We should abolish capital punishment,capital punishment can suffer from social or racial bias and in fact be used as a weapon against a certain section of society,State-sanctioned killing is principally wrong,1,0
9849,11679,We should ban private military companies,the fact that private military companies exist simply breeds the thoughts of violence and escalates the chances of conflict. we should not allow these companies to exist.,Private military companies are not professional,1,0
10474,7337,We should abolish the right to keep and bear arms,the right to bear arms is allowing dangerous and unstable people to have weapons at their disposal and this is increasingly dangerous of innocent people and it should be abolished.,Guns lead to accidental deaths,1,0
8762,14113,We should end affirmative action,affirmative action is no longer needed as we are now a very diverse society,Affirmative action diminishes the achievements of minorities,1,0
10622,7485,We should abolish the right to keep and bear arms,the right to keep and bear arms is written as a right in the constitution and should not be changed.,Gun ownership is necessary for hunting/sports-shooting,-1,0
13746,22996,We should subsidize space exploration,subsidizing space exploration is a positive move to help advance our space program.,Space exploration is financially beneficial,1,0
15523,6552,We should abolish intellectual property rights,intellectual property rights should be abolished as it limits competitions and innovation.,Intellectual property rights are unfair,1,0
5138,20848,We should prohibit women in combat,in a world of equal opportunities we should allow women to enter combat if they so choose.,Women are an asset in combat,-1,0
2870,13896,We should close Guantanamo Bay detention camp,we shouldn't ban it because there may be no other way to get information out of individuals which are a threat to the world.,The Guantanamo bay detention camp is better for prisoners than the alternatives,-1,0
221,10358,We should ban human cloning,human cloning can provide us with a lot of knowledge about the human body that could possibly save lives and cure fatal illnesses.,Cloning can be used to create more advanced humans,-1,0
10043,11873,We should ban private military companies,we should ban this because they cant be controlled and could turn against the government or people. they also might cause more problems then help solve them.,Private military companies are less ethical and violate rights or commit crimes,1,0
8612,13963,We should end affirmative action,affirmative action does not treat all races equally,Affirmative action reduces quality,1,0
14430,302,Assisted suicide should be a criminal offence,Assisted suicide should be a crime to prevent greedy individuals from killing their family member to get their money and property,Assisted suicide should not be allowed because many times people can still get better,1,0
11122,15494,We should fight for the abolition of nuclear weapons,we should because they are extremely dangerous.,Nuclear weapons provoke or escalate a disastrous military action,1,1
14642,514,Assisted suicide should be a criminal offence,assisted suicide would save terminally i'll people pain and suffering.,Assisted suicide gives dignity to the person that wants to commit it,-1,0
920,11057,We should ban human cloning,we shouldn't ban human cloning because is dificult science,Cloning promotes health,-1,0
11071,15443,We should fight for the abolition of nuclear weapons,"the immediate results of a nuclear attack are already devastating, but the lasting effects make it that much more cruel.",Nuclear weapons can fall into the wrong hands,1,0
11129,15501,We should fight for the abolition of nuclear weapons,we should fight for the abolition of nuclear weapons as they can cause catastrophic consequences and can cause unspeakable suffering.,Nuclear weapons provoke or escalate a disastrous military action,1,1
965,5146,We should abolish capital punishment,"As the only actor that can legitimately wield the use of force, the state has an reparative obligation to victims and their families to seek retribution against criminals, and this includes the use of capital punishment.",The death penalty helps the victim/their family,-1,1
4241,4344,We should abandon the use of school uniform,school uniforms are very expensive and some families cannot afford to buy them.,School uniform is harming the student's self expression,1,0
11210,17092,We should legalize cannabis,"by legalizing cannabis you are making it easier to get a hold of, which then encourages younger adults/teenagers to start smoking & become addicted",Cannabis increases lack-of-judgement/accidents,-1,0
2653,13679,We should close Guantanamo Bay detention camp,the guantanomo bay camp should be closed as people are kept there without fair trials,Detainees have the right to trial in US courts,1,1
2109,13135,We should close Guantanamo Bay detention camp,Guantanamo Bay detention camp is synonymous with torture and the flagrant abuse of human rights; it must be shut down immediately.,The Guantanamo bay detention camp is a symbol of discrimination/injustice,1,0
9953,11783,We should ban private military companies,using private military companies is no different to buying weapons or vehicles from private companies.,Hiring private military companies is financially beneficial,-1,0
6827,19968,We should legalize sex selection,Sex selection strengthens sexist stereotypes and gender biases.,Sex selection is expensive,-1,0
8440,22295,We should subsidize journalism,we don't subsidize other fields so why should we subsidize journalism,Journalism is like every other business and if it is not sustainable it should fail,-1,0
9189,14540,We should end affirmative action,we should end affirmative action since it unfairly promotes people based on their minority instead of promoting people more suited for the job. it's reverse discrimination.,Affirmative action perpetuates prejudice,1,0
3434,12488,We should ban the use of child actors,how are you going to make tv shows and movies without children?,Acting may be the child's dream,-1,0
16256,2401,The vow of celibacy should be abandoned,it should be abandoned because they have the same desires as every human has,Celibacy leads to wrong sexual behaviour,1,0
7962,21817,We should subsidize journalism,"if subsidised by the government then they might be biased, afraid of losing the money",It is preferable to spend the money elsewhere,-1,0
12546,15639,We should fight urbanization,urban cities allow for more people to live in a small area.,Urbanization benefits the environment,-1,0
7198,20339,We should legalize sex selection,we should not legalize sex selection because that could led to lawsuits if the child did not end up the sex the person desired.,Sex selection is against tradition,-1,0
8142,21997,We should subsidize journalism,journalism provides people with accurate and up to date information that is essential to a positive well being.,Subsidy increases objectivity in reporting,1,0
4082,4185,We should abandon the use of school uniform,school unforms stifle freedom of expression. they can be costly and make circumstances difficult for those on a budget,School uniforms increase conformity or harm individuality,1,0
8227,22082,We should subsidize journalism,newspapers are dying and need the support.,Subsidy increases objectivity in reporting,1,0
8517,22372,We should subsidize journalism,we should subsidize journalism because it is essential that we have access to news and events around the world. without journalism there will be massive corruption and less intelligence.,Journalism is important to information-spreading/accountability,1,1
4035,4138,We should abandon the use of school uniform,kids should be able to express them selves with their clothing,School uniforms increase conformity or harm individuality,1,0
10874,7737,We should abolish the right to keep and bear arms,we shouldn't completely abolish the right to keep and bear arms. every human being should have the right to defend themselves from enemies foreign and domestic.,Gun control is ineffective,-1,0
12794,15887,We should fight urbanization,urbanization is a grave threat to our environment and it should be stopped.,Restrictions on migration would benefit people in the rural areas economically/socially,1,0
15806,6835,We should abolish intellectual property rights,we should abolish intellectual property rights so that everyone can share property which increases harmony in society,Intellectual property rights are unfair,1,0
6656,19797,We should legalize sex selection,sex selection is immoral and favors one sex over another.,Sex selection is against tradition,-1,0
6195,19336,We should legalize sex selection,"in countries like china, where parents can only have one child, it is important to allow them to select the sex of their child.",Sex selection makes the family more happy/complete,1,0
8269,22124,We should subsidize journalism,"Subsidization will allow journals to act on stories that are most important instead of just those that will get them the most money, which means you will get more airing of important but less catchy stories.",A subsidy is important to make journalism viable,1,0
2667,13693,We should close Guantanamo Bay detention camp,the inhumane activities in guantanamo bay detention camp must come to an end.,The Guantanamo bay detention camp is expensive,1,0
14822,694,Assisted suicide should be a criminal offence,it should be a criminal offence because someone that may feel suicidal now might not feel that ay a few weeks down the line. they could go on to live a normal life if they get over the suicidal thoughts.,Assisted suicide should not be allowed because many times people can still get better,1,1
2194,13220,We should close Guantanamo Bay detention camp,Guantanamo Bay is a stain on America's reputation as a lawful and just country.,Detainees have the right to trial in US courts,1,0
6589,19730,We should legalize sex selection,sex selection enhances people's right to choose and should be legalized.,Sex selection allows for better family planning,1,0
2257,13283,We should close Guantanamo Bay detention camp,guantanamo bay is outdated and barbaric,The Guantanamo bay detention camp is expensive,1,0
9334,11164,We should ban private military companies,pmcs can provide security and reassurances to countries that cannot effectively raise the military might they need.,Private military companies are well-trained/better equipped,-1,0
7102,20243,We should legalize sex selection,we should legalize sex selection because people should be able to pick the sex of the baby they want instead of having the sex forced on them,Sex selection makes the family more happy/complete,1,0
8088,21943,We should subsidize journalism,"journalism is necessary to a free, democratic society and so we must support it by subsidizing the news.",Journalism is important to information-spreading/accountability,1,1
10836,7699,We should abolish the right to keep and bear arms,we should not abolish the right to keep and bear arms because people should be able to protect themselves,Gun ownership is a right,-1,0
2457,13483,We should close Guantanamo Bay detention camp,i clearly support that they close that field since that would be the best way to solve problems in guantanamo bay,Detainees have the right to trial in US courts,1,0
14419,291,Assisted suicide should be a criminal offence,assisted suicide is too dangerous as if someone is weak and feeble a manipulative person could encourage them to kill themselves when they do not really want to.,Assisted suicide should not be allowed because many times people can still get better,1,0
14988,860,Assisted suicide should be a criminal offence,people whose quality of life is so poor that death would be preferable should be allowed to choose assisted suicide to end their suffering and pass with dignity,Assisted suicide reduces suffering,-1,1
5269,20979,We should prohibit women in combat,we can't have women in combat because if they have a relationship with a male in their unit it could create problems and put them and others at risk,Women cannot overcome physical/emotional/mental barriers,1,0
12846,15939,We should fight urbanization,"urbanization is good because it means society can concentrate services - such as hospitals - in one place, thus reducing costs.",Urbanization benefits the economy,-1,0
635,10772,We should ban human cloning,"if scientists are able to clone humans, you could have a child whose organs would be perfect for you if you needed a transplant",Cloning promotes science/research,-1,0
1007,5188,We should abolish capital punishment,capital punishment can be a deterrent if criminals know this is the ultimate punishment,The death penalty is acceptable in cases of severe crimes,-1,0
11906,17788,We should legalize cannabis,"legalizing cannabis opens the door to many more potentially dangerous drugs being legalized, we must make sure that the only legalized use of any drug is controlled by the medical profession.",Cannabis increases lack-of-judgement/accidents,-1,0
12009,17891,We should legalize cannabis,"legalizing recreational marijuana will add billions to the economy, create hundreds of thousands of jobs, and save limited police resources",Cannabis is financially beneficial,1,1
16743,2888,The vow of celibacy should be abandoned,"the vow of celibacy should be abandoned, because as long as everybody involved is a consenting adult, nobody is getting hurt.",Celibacy is too pressuring/diffcult,1,0
2729,13755,We should close Guantanamo Bay detention camp,those who agree in the need to use Guantanamo Bay believe that it offers national protection against those people who are seen as a terrorist risk,Closing the Guantanamo bay detention camp would harm national security,-1,1
14865,737,Assisted suicide should be a criminal offence,"no doctor should take part in killing , it is their job to heal",Assisted suicide violates the doctor's role,1,1
7062,20203,We should legalize sex selection,we should legalize sex selection as people have every right to chose the sex of the child they wish to raise.,Sex selection allows for better family planning,1,0
6231,19372,We should legalize sex selection,"it should not be legal, it is costly and morally wrong",Sex selection is against tradition,-1,0
11476,17358,We should legalize cannabis,cannabis is considered a soft drug and has been shown to be successful in the treatment of range of mental and physical illnesses. legalizing it reduces the criminality associated with its distribution,Cannabis is safe/healthy/pain-relief,1,1
5692,21402,We should prohibit women in combat,"women can be determined and strong as some men, so who are we to stop them from combating?",Women should be accepted as long as they pass the tests,-1,0
9739,11569,We should ban private military companies,private military companies receive government funds without sufficient government oversight.,Private military companies cannot be trusted to be loyal to the hiring country,1,0
12932,16025,We should fight urbanization,urbanization leads to many new jobs and companies being able to expand their business. this means more goods produced in america and more happy people and money to be made.,Cities offer more opportunities,-1,1
8765,14116,We should end affirmative action,affirmative action is no longer needed as we are now a very diverse society,Affirmative action reduces quality,1,0
14302,174,Assisted suicide should be a criminal offence,assisted suicide is heartless and inhumane,Assisted suicide violates the doctor's role,1,0
5898,21608,We should prohibit women in combat,"women physically do not have the strength, both emotionally and physically, to perform combat under pressure and women should be prohibited from combat.",Women in combat can be a distraction or harm the function of the military,1,0
10340,7203,We should abolish the right to keep and bear arms,not having an armed public would entice the government to become more tyrannical.,Gun ownership is a right,-1,0
14485,357,Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because killing is wrong whether it is willingly or not,People who are ill do not have clear judgement and are in need of help,1,0
9589,11419,We should ban private military companies,"private military companies do not have the same oversight as the armed forces so they can do what they want and this can lead to exploitation, profiteering and mistreatment of prisoners",Private military companies cannot be trusted to be loyal to the hiring country,1,0
14253,125,Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should never be allowed.,Assisted suicide allows people to solicit someone to die to their own benefit,1,0
7065,20206,We should legalize sex selection,we should legalize sex selection as people have every right to chose the sex of the child they wish to raise.,Sex selection will prevent abortions/infanticide,1,0
1800,5981,We should abolish capital punishment,"The methods of execution have gradually become more humane over the years making the death penalty quick, painless, and humane.",The death penalty saves costs to the state,-1,0
6913,20054,We should legalize sex selection,terminating a life for the ability to choose a gender is incredibly immoral and belittling to the value of life,Sex selection is expensive,-1,0
15361,6390,We should abolish intellectual property rights,intellectual property rights are difficult to identify and regulate,Intellectual property restricts access to important information/products,1,0
5587,21297,We should prohibit women in combat,women are more likely to be targeted in combat,Women should serve in safer roles,1,0
4992,5095,We should abandon the use of school uniform,we should not force parents with limited funds to buy a whole separate wardrobe for their children to go to school,School uniforms increase conformity or harm individuality,1,0
4045,4148,We should abandon the use of school uniform,Mandatory school uniforms create an authoritarian atmosphere in the school which is bad for students development.,School uniforms increase conformity or harm individuality,1,0
4740,4843,We should abandon the use of school uniform,"the school uniform equalizes students in a way where poor and rich students are dressed alike, thus reducing bullying.",School uniforms create a sense of equality/unity,-1,1
7292,14641,We should end mandatory retirement,"by pushing an older group of people out of a particular profession, this makes room for a younger generation to enter the workforce",A mandatory retirement age creates opportunities for other workers,-1,1
7543,14892,We should end mandatory retirement,mandatory retirement keeps professions and companies lively and dynamic,mandatory retirement age benefits those that are about to be retired,-1,0
11788,17670,We should legalize cannabis,it is a gateway drug to more harmful drugs.,Cannabis increases lack-of-judgement/accidents,-1,0
6044,21754,We should prohibit women in combat,women shouldn't be in combat because they aren't as strong or fast as men and can be a weak link,Women should serve in safer roles,1,0
1197,5378,We should abolish capital punishment,capital punishment is cruel and in some cases people have been punished for crimes they didn't commit,The death penalty is a waste of resources,1,0
9751,11581,We should ban private military companies,private military companies should be banned as they are not subject to military laws,Private military companies cannot be trusted to be loyal to the hiring country,1,0
15489,6518,We should abolish intellectual property rights,intellectual property rights mean that it is too expensive to access literature and music. abolishing these rights would make art more accessible to all.,Intellectual property prevents the continuous improvement of a service/product,1,0
6535,19676,We should legalize sex selection,Sex selection can lead to gender imbalance by distorting the natural male-female sex ratio.,Sex selection reaffirms gender stereotypes/biases,-1,0
9867,11697,We should ban private military companies,the neutrality of private military companies cannot be guaranteed so they are a threat to national security.,Private military companies are not professional,1,0
14493,365,Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because no one has a right to take another persons life or to help them,Assisted suicide violates the doctor's role,1,0
6434,19575,We should legalize sex selection,sec selection is a right parents have in the process of childbirth,Sex selection makes the family more happy/complete,1,0
5782,21492,We should prohibit women in combat,"Women have fought long and hard for equality in all walks of life including the forces, if they are trained and able then there is no reason why they cannot be on the front line with men",There should be equality between men and women.,-1,1
8632,13983,We should end affirmative action,affirmative action gives extra support and privileged to groups of people that might have been held back in the past. but today people are no longer suppressed as before so no extra help should be needed.,Affirmative action diminishes the achievements of minorities,1,0
6647,19788,We should legalize sex selection,sex selection is against nature and messes up the biological makings of the child for future harm,Sex selection can lead to gender imbalance,-1,0
14830,702,Assisted suicide should be a criminal offence,it should be a criminal offense to assist in a suicide because that is murder.,People who are ill do not have clear judgement and are in need of help,1,0
1041,5222,We should abolish capital punishment,capital punishment can suffer from social or racial bias and in fact be used as a weapon against a certain section of society,The death penalty harms the disenfranchised,1,1
14871,743,Assisted suicide should be a criminal offence,no matter how much suffering we have in life nothing justifies death in the same way i think that a sick person is not in the capacity of whether he wants to live or not,Assisted suicide violates the doctor's role,1,0
2671,13697,We should close Guantanamo Bay detention camp,"the inmates of guantanamo bay are terrorists and a danger to the person on the street, closing guantanamo bay would put thousands of innocent people at risk.",The Guantanamo bay detention camp is essential to gain intelligence,-1,0
4521,4624,We should abandon the use of school uniform,school uniforms limit a student's individuality and expression of their personality and therefore should be abandoned.,School uniform harms learning/creativity,1,0
13751,23001,We should subsidize space exploration,subsidizing space exploration is extremely expensive and takes money away from projects that need it now.,Space exploration is ineffective,-1,0
16316,2461,The vow of celibacy should be abandoned,priests need to be celibate in order to fully focus on the monumental task of serving their people.,Removing celibacy could lead to sexually reckless acts,-1,0
14305,177,Assisted suicide should be a criminal offence,assisted suicide is immoral and a crime,Assisted suicide allows people to solicit someone to die to their own benefit,1,0
11293,17175,We should legalize cannabis,cannabis has been proved to be less harmful than other drugs and play a beneficial and safe form of medication for some illnesses and so should be legalized,Cannabis is financially beneficial,1,0
14218,90,Assisted suicide should be a criminal offence,Assisted suicide helps those who are in pain due to a devastating disease end their own lives on their own terms.,Assisted suicide gives dignity to the person that wants to commit it,-1,0
11458,17340,We should legalize cannabis,cannabis is a useful medicinal plant which people should be able to use legally.,Cannabis is safe/healthy/pain-relief,1,1
11299,17181,We should legalize cannabis,cannabis has been proven as very effective for medical use,Cannabis is financially beneficial,1,0
1364,5545,We should abolish capital punishment,"capital punishment provides both the ultimate deterrent, and the ultimate penalty, for the most heinous of crimes.",The death penalty saves costs to the state,-1,0
8361,22216,We should subsidize journalism,subsidizing journalism would eventually lead to biased news and articles,It is preferable to spend the money elsewhere,-1,0
12877,15970,We should fight urbanization,urbanization is necessary for societies to grow and cilvilizations to prosper.,Urbanization benefits the environment,-1,0
2825,13851,We should close Guantanamo Bay detention camp,we should close guantanamo bay detection camp because some of the people are treated badly,Detainees have the right to trial in US courts,1,0
8830,14181,We should end affirmative action,"Affirmative action may have been necessary in the past, but the expansion of opportunities for women and minorities in recent decades have made affirmative action obsolete.",Affirmative action diminishes the achievements of minorities,1,0
15660,6689,We should abolish intellectual property rights,people should be able to guarantee income from inventions to recover development cost,Intellectual property rights protect against stealing,-1,0
16746,2891,The vow of celibacy should be abandoned,"the vow of celibacy should be abandoned, because as long as everybody involved is a consenting adult, nobody is getting hurt.",Celibacy reduces the pool of people wanting to become priests,1,0
3943,12997,We should ban the use of child actors,"we shouldn't ban the use of child actors. i think this role can be good for children, it opens up career doors, and who would fill all the roles that need a child not an adult..",Child performers are necessary for roles,-1,1
12708,15801,We should fight urbanization,urbanization destroys the countryside and with it much natural beauty.,Restrictions on migration would benefit people in the rural areas economically/socially,1,0
4654,4757,We should abandon the use of school uniform,school uniforms stops richer pupils from showing off and removes status markers so all can be treated the same.,School uniforms saves costs,-1,0
9646,11476,We should ban private military companies,private military companies hire dedicated people to become soldiers; they are likely more skilled than the kids we send out onto the battleground now.,"Private military companies can supplement regular armies in specific tasks that armies cannot, or do not want, to do",-1,0
10780,7643,We should abolish the right to keep and bear arms,we should abolish this because so many innocent people can get hurt by accidental shootings or if the weapon is stolen then it can be used in a crime,Guns lead to accidental deaths,1,1
2088,13114,We should close Guantanamo Bay detention camp,guantanamo bay detection camp shouldn't be closed because it helps with national protection,The Guantanamo bay detention camp is essential to gain intelligence,-1,0
10141,7004,We should abolish the right to keep and bear arms,Citizens should be allowed to defend themselves with lethal force in a life-or-death situation because the police are typically slow to respond to such situations.,Gun ownership is a right,-1,0
15392,6421,We should abolish intellectual property rights,intellectual property rights are so important in that they don't allow someone to just steal someone else's ideas and creations for their own benefit.,Intellectual property rights protect against stealing,-1,1
40,10177,We should ban human cloning,"Cloning could benefit those that are unable to have a child, it could be used to clone great thinkers of our time like Einstein or other great people, It would advance science as well.",Cloning can be used to create more advanced humans,-1,0
16739,2884,The vow of celibacy should be abandoned,the vow of celibacy should be abandoned to prevent such unattainable pressures being placed upon religious leaders,Celibacy is unhealthy/unnatural,1,0
4581,4684,We should abandon the use of school uniform,School uniforms prevent conflicts over clothing from taking up class time which lets students focus on learning.,Children can still express themselves using other means,-1,0
12995,16088,We should fight urbanization,urbanization reduces our wildife and nature.,Urbanization is causing a strain on the cities' resources,1,0
1940,6121,We should abolish capital punishment,We should abolish capital punishment because these criminal caught already and put in jail and in spiritual aspect there is a possibility they repent and perhaps become a role model not to commit crime anymore,The death penalty irreversible,1,0
16601,2746,The vow of celibacy should be abandoned,the vow of celibacy is very likely responsible for the thousands of sexual abuses perpetrated by catholic priests,Celibacy reduces the pool of people wanting to become priests,1,0
13673,22923,We should subsidize space exploration,space exploration should continue to be subsidized to ensure that our own earth is protected by learning the effects of the ever-changing atmospheric changes taking place.,Space exploration can help in colonizing the resources/lands of other planets,1,0
424,10561,We should ban human cloning,human cloning is unnatural and could cause the demise of human beings,Cloning is not understood enough yet,1,0
4946,5049,We should abandon the use of school uniform,We should not abandon the use of school uniform as it allows students to focus on studying rather than fashion and appearances.,School uniforms create a sense of equality/unity,-1,0
47,10184,We should ban human cloning,Cloning could lead to designer humans and we will lose the diversity of the human race,Cloning is unnatural,1,0
3885,12939,We should ban the use of child actors,"we should not ban the use of child actors because children many times are part of a television or movie script. as long as the child actor has parental guidance, everything is fine.",The parents should decide for their child,-1,0
3219,12273,We should ban the use of child actors,child actors cannot be banned since a typical family would never be able to be depicted on film or television,Acting may be the child's dream,-1,0
401,10538,We should ban human cloning,human cloning is the creation of a human being from your own characteristics and genes just like you that is confused before the eyes of others,Cloning is unethical/anti-religious,1,0
7096,20237,We should legalize sex selection,we should legalize sex selection because it should be up to people to make that choice. freedom of choice is vital in democracies and should be protected where possible.,Sex selection prevents diseases in the child,1,0
10087,11917,We should ban private military companies,we shouldn't ban private military companies because it will leave people without a job,Private military companies are well-trained/better equipped,-1,0
15713,6742,We should abolish intellectual property rights,"the product of human thought must be used by all, and everyone should have the right to improve the ideas that others have created.",intellectual property rights are ineffective,1,0
8863,14214,We should end affirmative action,"affirmative action sets people up to fail, as they are approved based on race, not merit",Affirmative action is ineffective,1,0
4084,4187,We should abandon the use of school uniform,school uniform are just right because otherwise will be recognized between kids who is rich and who is not.,School uniform reduces bullying,-1,0
4734,4837,We should abandon the use of school uniform,the school uniform decreases bullying if you're not dressed in the name brand clothes,School uniforms saves costs,-1,0
2977,12031,We should ban the use of child actors,"as long as the child really wants to do it and is being properly supervised, they should be allowed to act.",Child performers achieve success/confidence,-1,0
2361,13387,We should close Guantanamo Bay detention camp,guantanamo bay uses torture on it's prisoners which is cruel and inhumane.,The Guantanamo bay detention camp is expensive,1,0
15909,6938,We should abolish intellectual property rights,we shouldn't abolish intellectual property rights because it can help you gain a competitive edge against your competition,"People, or a business, own their innovations and should be able to be compensated for their endeavour",-1,0
12494,15587,We should fight urbanization,"many of our natural habitats and ecosystems have been lost to urbanization, thereby rendering some many species of animals endangered",Restrictions on migration would benefit people in the rural areas economically/socially,1,0
318,10455,We should ban human cloning,human cloning helps science find new technologies.,Cloning can be used to create more advanced humans,-1,0
432,10569,We should ban human cloning,"human cloning is unnecessary, unethical and serves no purpose apart increasing overpopulation of the planet",Cloning is not understood enough yet,1,0
15051,923,Assisted suicide should be a criminal offence,suicide is never the answer and it is wrong,Assisted suicide allows people to solicit someone to die to their own benefit,1,0
14370,242,Assisted suicide should be a criminal offence,assisted suicide is necessary in our modern world full of people dealing with pain and sorrow,People should have the freedom to choose to end their life,-1,0
12197,18079,We should legalize cannabis,"the medicinal use of cannabis is so widespread, accepted and proven that its legalization is unstoppable",Legalizing cannabis will reduce black-market/criminal activity,1,0
10570,7433,We should abolish the right to keep and bear arms,the right to keep and bear arms is fundamental to our freedom. we give that right up and we are prisoners to the government.,Gun control is ineffective,-1,0
4240,4343,We should abandon the use of school uniform,school uniforms are very expensive and some families cannot afford to buy them.,School uniform harms learning/creativity,1,0
12316,18198,We should legalize cannabis,we should legalize cannabis because it is has many health benefits,Alcohol and tobacco are more harmful drugs yet remain legal,1,0
9766,11596,We should ban private military companies,private military companies should be banned because only governments should be in the business of running military operations.,Private military companies cannot be trusted to be loyal to the hiring country,1,0
2436,13462,We should close Guantanamo Bay detention camp,"Guantanamo uses torture, which is against international law.",The Guantanamo bay detention camp is a symbol of discrimination/injustice,1,0
7870,15219,We should end mandatory retirement,we should end mandatory retirement some people have to work to supplement government pensions. it gives them social interaction which they may not have if they arent working,A mandatory retirement age harms the economy,1,0
14417,289,Assisted suicide should be a criminal offence,assisted suicide is too dangerous as if someone is weak and feeble a manipulative person could encourage them to kill themselves when they do not really want to.,Assisted suicide allows people to solicit someone to die to their own benefit,1,1
39,10176,We should ban human cloning,"Cloning could benefit those that are unable to have a child, it could be used to clone great thinkers of our time like Einstein or other great people, It would advance science as well.",Cloning can be used for organ replication,-1,0
4355,4458,We should abandon the use of school uniform,School uniforms do not limit self-expression. Students can wear jewelry and other accessories to express themselves.,School uniforms encourage discipline or focus on learning,-1,0
726,10863,We should ban human cloning,there is a lot we can learn medically from human cloning and we should do it responsibly,Cloning helps those who can’t otherwise have a child,-1,0
13928,23178,We should subsidize space exploration,we have too many problems here on our own planet to worry about putting money into searching space.,Space exploration is expensive,-1,0
12614,15707,We should fight urbanization,urbanization can bring much needed money to a city.,Urbanization benefits the environment,-1,0
8044,21899,We should subsidize journalism,Journalism is an important part of our political system; it keeps citizens informed and exposes government corruption.,Subsidies will increase the quality of journalism,1,0
14562,434,Assisted suicide should be a criminal offence,assisted suicide should no be considered a criminal offence because a person could really be suffering and in pain and to let them suffer is heartless and inhumane,Assisted suicide reduces suffering,-1,1
14056,23306,We should subsidize space exploration,we should subsidize space exploration as we have learnt a lot and can advance through technology,Space exploration unravels information about the universe,1,0
1992,6173,We should abolish capital punishment,"With the creation of DNA testing and other new forensic analysis, we can eliminate uncertainty in the guilt of people who deserve the death penalty.",The death penalty saves costs to the state,-1,0
5727,21437,We should prohibit women in combat,women can do the job just as well as any man can this is not the dark ages anymore.,Women should be accepted as long as they pass the tests,-1,0
606,10743,We should ban human cloning,human cloning would allow us to always have our loved ones.,Cloning can be used to create more advanced humans,-1,0
6835,19976,We should legalize sex selection,sex selection will have devastating consequences for gender imbalance.,Sex selection will create abortions/infanticide,-1,0
