,Unnamed: 0,topic,argument,key_point,stance,label
6800,19941,We should legalize sex selection,sex selection should be legalized because it gives couples the options to plan a family,Sex selection will prevent abortions/infanticide,1,0
15571,6600,We should abolish intellectual property rights,intellectual property rights stifle growth and information by stopping the free-flowing of ideas.,Intellectual property rights are unfair,1,0
16193,2338,The vow of celibacy should be abandoned,if you cannot adhere to a vow of celibacy then don't make it,Religious experiences and traditions should be maintained,-1,0
2046,13072,We should close Guantanamo Bay detention camp,for safety reason we need to keep the camp open.,Closing the Guantanamo bay detention camp would harm national security,-1,1
13295,22545,We should subsidize space exploration,many scientific discoveries have come from space exploration.,Space exploration unravels information about the universe,1,0
6418,19559,We should legalize sex selection,people shouldn't be allowed to play god,Sex selection is against tradition,-1,0
4414,4517,We should abandon the use of school uniform,school uniforms have no positive effect on behavior and academic performance and highlight the socioeconomic disparities they are intended to attend,School uniforms increase conformity or harm individuality,1,0
12033,17915,We should legalize cannabis,marijuana has numerous proven medical benefits.,People should be allowed to do whatever they want to their own bodies,1,0
6814,19955,We should legalize sex selection,sex selection should not be legalized as it isnt ethical its going against the natural course of life,Sex selection can lead to gender imbalance,-1,0
1077,5258,We should abolish capital punishment,capital punishment has been proven ineffective in reducing crime rates.,The death penalty harms the disenfranchised,1,0
5874,21584,We should prohibit women in combat,women in combat shouldn't be prohibited because it's an opportunity for them to reach their dreams,Women are an asset in combat,-1,0
4202,4305,We should abandon the use of school uniform,school uniforms are expensive to buy,School uniform harms learning/creativity,1,0
12779,15872,We should fight urbanization,urbanization id needed to allow business to flourish and communities to succeed.,Urbanization benefits the economy,-1,1
15497,6526,We should abolish intellectual property rights,"intellectual property rights prevent advances in technological innovation, by restricting access to information.",Intellectual property rights are unfair,1,0
2789,13815,We should close Guantanamo Bay detention camp,we should close guantanamo bay because it's unfair to continue to hold human beings in prison without giving them a fair trial,The Guantanamo bay detention camp is expensive,1,0
4577,4680,We should abandon the use of school uniform,school uniforms place an unneeded financial burden on parents that are already paying large sums for private schools besides the fact that dress clothes are uncomfortable and add distraction to learning.,School uniforms increase conformity or harm individuality,1,0
13044,16137,We should fight urbanization,we need more housing for people and so we need to urbanize more.,Cities offer more opportunities,-1,1
15851,6880,We should abolish intellectual property rights,we should not abolish intellectual property rights as they protect the income of people who need them to make a living.,Intellectual property rights incentivize investment in developing new products,-1,0
4325,4428,We should abandon the use of school uniform,school uniforms cut down on bulling and keep everyone the same.,School uniforms create a sense of equality/unity,-1,1
2356,13382,We should close Guantanamo Bay detention camp,Guantanamo Bay undemocratically burdens US citizens in terms of both liberties and finances,The Guantanamo bay detention camp personnel commit crimes against the prisoners,1,0
10018,11848,We should ban private military companies,we should ban private military companies because your contract can be bought at any moment by another company leading to instability,Private military companies are less ethical and violate rights or commit crimes,1,0
16620,2765,The vow of celibacy should be abandoned,"the vow of celibacy must be abandoned because it is something old, the world has evolved and this is going to be understood by the faithful.",Celibacy leads to wrong sexual behaviour,1,0
13472,22722,We should subsidize space exploration,space exploration is a way to discover new worlds therefore we should put more money to explore the universe,Space exploration unravels information about the universe,1,1
10995,15367,We should fight for the abolition of nuclear weapons,nuclear weapons are only safe if the leaders in charge can be trusted. it would only take one leader to destroy the whole planet.,Nuclear weapons can fall into the wrong hands,1,1
13369,22619,We should subsidize space exploration,space exploration does not benefit humanity and therefore we should not subsidize it,Space exploration can be carried by the private sector,-1,0
5018,5121,We should abandon the use of school uniform,"When dangerous organizations like gangs are involved, requiring a school uniform can help keep students safe.",Children can still express themselves using other means,-1,0
3760,12814,We should ban the use of child actors,"using child actors is exploitation, it prevent children from having a childhood, children will not chose this for themselves they are pushed into it by parents wanting their 5 minutes of fame and the money.",Child performers tend to develop problems later in life,1,0
34,10171,We should ban human cloning,"cloning can mean cloning organs, not necessarily whole people, and cloned organs would save many lives as it would reduce rejection and save people who do not get a donor in time.",Cloning can be used for organ replication,-1,1
13147,16240,We should fight urbanization,we should not fight urbanization because it gives more people places to live,Urbanization benefits the economy,-1,0
